	feature	tfidf
0	,	0.03822406212934577
1	и	0.014824396597979017
2	лес	0.013705340806490577
3	!	0.013657165947826377
4	девочка	0.011697291023707437
5	он	0.011063811919162296
6	сказка	0.010694950382686405
7	дед	0.010460260399278807
8	мороз	0.010107340906489687
9	она	0.008952980423469974
10	ты	0.008910019822257129
11	мама	0.0085987689066714
12	кот	0.008186693474087165
13	бабушка	0.00809400597567005
14	снег	0.006591004983270042
15	король	0.006382660761957512
16	мальчик	0.006180595687411371
17	волк	0.006103709954005926
18	волшебный	0.006034053203772407
19	дедушка	0.005885503642202432
20	ёлка	0.005835265988475543
21	фея	0.005826415788321636
22	птица	0.005620978573037185
23	я	0.005552105429434174
24	принц	0.00551965088385134
25	принцесса	0.005480800188317874
26	заяц	0.005366787498902022
27	снежинка	0.0051400463046763385
28	дерево	0.005065451581329175
29	домик	0.005021459135698817
30	папа	0.004952802051965435
31	волшебник	0.0048369426301660134
32	не	0.004830582198385303
33	подарок	0.00477875285064914
34	медведь	0.004710795535438739
35	зверь	0.004697906316178035
36	лапка	0.004526349727814409
37	зима	0.00446082153947595
38	дракон	0.0044310461088517845
39	дворец	0.0044193840332889586
40	в	0.004301911517169709
41	маленький	0.004256163976451693
42	царь	0.004193746551599313
43	лапа	0.0041932730367917215
44	цветок	0.004133973183329097
45	ru	0.004112396123167451
46	новогодний	0.004108667107680328
47	малыш	0.004065650340921745
48	*	0.004055539491853319
49	ветка	0.004034083499771771
50	друг	0.003958129539209571
51	лесной	0.0039379652908758875
52	кошка	0.0038126354651583567
53	елка	0.003800908344440046
54	игрушка	0.0037761145783995346
55	снежный	0.0037454646004355793
56	они	0.003723832785942274
57	быть	0.003633517567292215
58	королевство	0.0036267827679898777
59	дождь	0.0035501350447547436
60	избушка	0.0035484686304614508
61	вода	0.003520635907577288
62	цветы	0.0034356213842219345
63	старик	0.0034182790674241333
64	поляна	0.003330422152394816
65	гном	0.0033124690268886126
66	море	0.003286506022929631
67	принцесс	0.003267148619438561
68	ветер	0.003262295123927067
69	солнышко	0.003184590022123572
70	брат	0.0031530721040576976
71	рыбка	0.003140130301052042
72	деревня	0.0031334472530893166
73	рыба	0.00313116637854795
74	королева	0.0031264283833320585
75	бабочка	0.003121917014529027
76	летать	0.0031070297524719258
77	небо	0.0030901961248271975
78	http	0.003086872177043954
79	что	0.003086059488115819
80	сказочный	0.0030596196343834355
81	девушка	0.002968569192496639
82	берег	0.0029673283103994518
83	гриб	0.002954552652737575
84	пещера	0.0029481535761602096
85	праздник	0.0029430844327815457
86	хвост	0.002938980053931164
87	трава	0.002931649443036348
88	камень	0.0029133168080103045
89	а	0.0028812702719022295
90	звезда	0.002823615756148218
91	мышка	0.002815905035989564
92	солнце	0.0027758097746289684
93	proza	0.00276564164604501
94	да	0.0027611371346235682
95	однажды	0.002750071563200776
96	мышь	0.0027172903672825744
97	чудо	0.002709637938385526
98	гора	0.0026605942381111893
99	хозяйка	0.0026600406903627867
100	луна	0.0026553621533633534
101	мешок	0.002648608147194719
102	река	0.002630287483384939
103	ворона	0.002598874649527939
104	на	0.0025923143781028776
105	www	0.002591997205002686
106	волшебство	0.0025786548349883737
107	озеро	0.002532450145674399
108	облако	0.002529396463766973
109	дуб	0.0025249667217099626
110	конь	0.0025204369654278137
111	юноша	0.002515679159999947
112	иван	0.0024737960662476275
113	красавица	0.0024699714542788776
114	красивый	0.0024564627953593664
115	куст	0.002456039946684307
116	злой	0.0024412760946121697
117	колдун	0.0024254540769171632
118	добрый	0.002410136841399774
119	олень	0.0023959639990780053
120	внучка	0.002390135328452108
121	крыло	0.0023792062691476456
122	царство	0.0023744955931690984
123	пушистый	0.002366959529510325
124	земля	0.002360560821863911
125	замок	0.002350628661052246
126	вы	0.0023495381668989144
127	птичка	0.0023465422424533344
128	играть	0.0023419254938434634
129	гость	0.002332526210806568
130	старушка	0.0022989071960144037
131	Маша	0.002297647180678219
132	баба	0.002287104584233759
133	бабка	0.0022777733489458096
134	Василиса	0.0022558541305731424
135	лететь	0.002247749416790811
136	спать	0.002241763208121747
137	ворон	0.002211533198688232
138	хозяин	0.0022101562368812334
139	ночь	0.002185099440963849
140	охотник	0.0021772271461007096
141	двор	0.002172313663104066
142	собака	0.00217060307194613
143	эльф	0.002167261727559395
144	луг	0.002162341766314287
145	белый	0.0021571254751626707
146	петь	0.0021559074078440605
147	дом	0.002152894533746788
148	песня	0.0021513590836354014
149	лист	0.002145030109727793
150	Ваня	0.0021198892327648562
151	сад	0.002107560534139867
152	лягушка	0.002093963593436478
153	дочь	0.002090486747800986
154	сон	0.002079337792561798
155	сугроб	0.0020559220414946666
156	золотой	0.002048781168939519
157	тут	0.0020387039300549955
158	сын	0.002038217078297746
159	плакать	0.0020156932020277615
160	окно	0.0020104289710509123
161	очень	0.0020077133377363783
162	***	0.0020063754067954948
163	королевский	0.0020059771093257853
164	расти	0.0019951768849753374
165	старуха	0.001992060764470202
166	песенка	0.001976737044718249
167	ребенок	0.0019595812927398824
168	человек	0.0019585228836006933
169	колокольчик	0.0019489021037841399
170	палочка	0.001936880917895391
171	яйцо	0.00193115243660745
172	Иван	0.0019269500879535357
173	любовь	0.0019202083002155131
174	прилетать	0.0019177247039587585
175	мужик	0.0019016735956628253
176	красота	0.0019001535612118339
177	новый	0.0018969143964959825
178	дарить	0.001893365630164028
