	feature	tfidf
0	,	0.13444191954813833
1	я	0.06575961561815544
2	и	0.056241032327931574
3	ты	0.05159650801164868
4	в	0.043270178296918836
5	не	0.0399673887116782
6	!	0.0357902622047309
7	мы	0.02182918543329223
8	любовь	0.02034892227152404
9	твой	0.019072597393968042
10	мой	0.017080792208852485
11	душа	0.016993900855129928
12	что	0.016539448169747114
13	сердце	0.015346556399925113
14	на	0.0145040533919128
15	быть	0.014494477701129375
16	любить	0.013535931382374479
17	с	0.013220056043989938
18	снег	0.012367070025008375
19	как	0.012318082378939577
20	небо	0.012156546956748514
21	все	0.011556230061764613
22	лишь	0.011548943950084356
23	он	0.011315108240051974
24	пусть	0.010976933553063745
25	ночь	0.010421510891812239
26	ветер	0.009963974102091806
27	она	0.009865301097364923
28	жизнь	0.009821823446752623
29	свет	0.009589813815956121
30	вы	0.009516000295249336
31	*	0.009476057911815787
32	мир	0.00938223082950061
33	сон	0.009031119571008987
34	счастье	0.008886966820055301
35	а	0.008807028667497795
36	кто	0.008640979882253229
37	боль	0.008620746569675658
38	вновь	0.008616988992134174
39	то	0.008544786302920476
40	зима	0.00839125924389031
41	12	0.008214247298472276
42	друг	0.008047630801975743
43	мечта	0.00802215571190923
44	год	0.008001737720687596
45	жить	0.007527549563289269
46	судьба	0.007379727282620885
47	нет	0.007224601195076026
48	хотеть	0.007157955901559441
49	весь	0.007119090334370665
50	за	0.0070510306952790295
51	словно	0.007042547429312728
52	бы	0.007038038000672939
53	но	0.0069881373543009846
54	так	0.00698418939499275
55	глаз	0.006968780044305822
56	солнце	0.006933569269331113
57	без	0.006894068040176681
58	бог	0.00688343947037079
59	уходить	0.006635361334648513
60	день	0.006607625651080216
61	нежный	0.0065326114604354465
62	забывать	0.006494577595502532
63	они	0.00648505087203796
64	ведь	0.006455731628702679
65	слово	0.006428501748200748
66	знать	0.006428135351413123
67	окно	0.006395293826234913
68	огонь	0.006263346057810517
69	звезда	0.006251903707852928
70	о	0.006211727150375292
71	снова	0.006152116993880073
72	дождь	0.006095128651008788
73	когда	0.00607985879996373
74	где	0.006049989064216293
75	осень	0.006048519802928953
76	мочь	0.006017896233968694
77	декабрь	0.005946571038544922
78	стих	0.005917639667644753
79	белый	0.005882920382045817
80	тот	0.0058479725784852336
81	чувство	0.005846383056623779
82	прощать	0.005820796716857212
83	мысль	0.005775724819036732
84	птица	0.005765448571360074
