	feature	tfidf
0	,	0.11496183833996793
1	я	0.05280524919392315
2	ты	0.05215089466731422
3	и	0.04935949572154742
4	в	0.03720951257236165
5	!	0.03494937069262543
6	не	0.03463729623464974
7	*	0.023691899086330823
8	твой	0.022120605527567498
9	любовь	0.02102546211057321
10	мой	0.018012413656442995
11	мы	0.0172742625256261
12	душа	0.015620941897738258
13	что	0.015076702846638434
14	на	0.014667248290055952
15	любить	0.014405885438172412
16	быть	0.012846982100174195
17	сердце	0.01243775265530547
18	снег	0.012065252197085739
19	жизнь	0.010823197134750754
20	все	0.010658127028915056
21	с	0.010639924178525613
22	он	0.010337791138949571
23	**	0.010277615033252627
24	как	0.010064046999789735
25	небо	0.009978412309202413
26	12	0.00970188780132595
27	она	0.009038107133501339
28	мир	0.008678687001744866
29	то	0.008300909194866868
30	а	0.008273870681253454
31	ночь	0.00809776289775864
32	свет	0.008060740412480312
33	счастье	0.008052950972441183
34	друг	0.007842377316301509
35	хотеть	0.007673086063040783
36	солнце	0.00759741487615285
37	вы	0.007479980652249975
38	лишь	0.007303791341585915
39	ветер	0.007252614617971933
40	боль	0.00722915493242673
41	бог	0.006985867150324481
42	но	0.006960247136867629
43	жить	0.006949837652397409
44	кто	0.006814516630635164
45	весь	0.0067949849209071895
46	о	0.0067881782536139
47	нет	0.006645757902110846
48	пусть	0.00659391786104177
49	зима	0.006590771813803258
50	они	0.006508682017467044
51	без	0.0063927737073401275
52	когда	0.006270991548963268
53	знать	0.00625558819616561
54	так	0.006247761217696847
55	глаз	0.0062132144485313205
56	это	0.0061462990396699835
57	дождь	0.006129187772506995
58	сон	0.0060431943124349685
59	человек	0.006033533253293431
60	радость	0.005966503533315151
61	бы	0.005940642956683172
62	нежный	0.005881064475800985
63	год	0.0057940273779150415
64	мысль	0.005766876045338042
65	земля	0.005764011172930515
66	путь	0.005755456554473816
67	день	0.0057031212709266884
68	чтобы	0.005670167343444483
69	за	0.005668701920371302
70	окно	0.005633734300825715
71	мочь	0.005625972274499057
72	белый	0.005592925262188276
73	уходить	0.005540826741144834
74	по	0.005490493429821229
75	где	0.005479310005967675
76	от	0.005472872404175309
77	вновь	0.00542038906006541
78	ведь	0.005376571315377377
79	тот	0.005318974616207291
80	словно	0.005282612462233633
81	у	0.00527123101690532
82	тобой	0.005251784524022617
83	слово	0.005199386038159713
84	забывать	0.005136512888968819
85	судьба	0.005035968817196725
86	ни	0.005020055897857268
87	милый	0.004996783871958525
88	мечта	0.004994647831414699
89	наш	0.0049641415169116975
90	себя	0.004944935782272545
91	огонь	0.0049445570192425
92	декабрь	0.004926708422598338
93	свой	0.004904548993383121
94	стих	0.004861530832397116
95	нежность	0.004769857248959582
96	луна	0.0047320666143583195
97	море	0.004702597261997122
98	для	0.00464211845878735
99	сладкий	0.004618086861174342
100	каждый	0.004612636897147414
101	снова	0.004584007972718662
102	просто	0.004583207561241924
103	к	0.004537035363268458
104	звезда	0.004475073768399721
105	верить	0.0044456491573159895
106	дорога	0.004417164537789549
107	прощать	0.004381483160880121
108	всегда	0.004288497367309875
109	видеть	0.00427651395283721
110	осень	0.004224586853209817
111	рука	0.0042210962886811455
112	под	0.004207351288619836
113	печаль	0.004180252057416787
114	только	0.0041330856673945406
115	тишина	0.004130587161355808
116	з	0.004116333254673184
117	чувство	0.004111192616442175
118	новый	0.0040990620097057315
119	утро	0.0040977569998766885
120	родной	0.004091993123316219
121	птица	0.0040529472461028814
122	там	0.004049741891993767
123	этот	0.004043274389895957
124	холодный	0.0040382824352782586
125	давать	0.004032812418209388
126	прекрасный	0.00402013561384094
127	весна	0.004008002691765183
128	тень	0.004001608166823697
129	тепло	0.003991552201449423
130	да	0.003983315679389184
131	до	0.0039025923264241927
132	вечный	0.0039020902043316367
133	писать	0.003899533435067005
134	страсть	0.003874618828406983
135	губа	0.00387269153537667
136	же	0.0038379601935039104
137	дарить	0.003789637746598928
138	иль	0.003756807788878928
139	улыбка	0.0037508151761443346
140	надежда	0.003745908942861481
141	кровь	0.0037286824304124666
142	вода	0.0037236694553287554
143	любимый	0.003723634470564915
144	счастливый	0.003711470616009843
145	из	0.003704899015057626
146	умирать	0.003704423778815077
147	плакать	0.0036646308835603064
148	твое	0.0036524744832754684
149	песня	0.003622521008851674
150	рядом	0.0036222671342804494
151	дом	0.0036012246069358845
152	смотреть	0.003597643597096575
153	над	0.0035885750392475576
154	миг	0.003584783029641649
155	никогда	0.0035711427949599263
156	мечтать	0.0035563627834451347
157	один	0.003533112357954706
158	облако	0.003523522547477244
159	тело	0.0034924528927243355
160	слеза	0.0034546493755706073
161	будто	0.0034472778797057474
162	время	0.003422895516855674
163	опять	0.0034213072106818307
164	ждать	0.003417213913071769
165	господь	0.003400952231158684
166	навсегда	0.003397652596693995
167	http	0.003391633237445945
168	если	0.003388655082807526
169	цвет	0.0033861956706596062
170	идти	0.003386068034227471
171	целовать	0.0033825503931158058
172	мое	0.003376325723703277
173	фото	0.003370360715642909
174	взгляд	0.0033675447568804378
175	нужный	0.0033290510064065944
176	вечность	0.0033274880575581926
177	лист	0.0033142145333864485
178	сила	0.0033107494665908506
179	про	0.0033070831741465836
180	сегодня	0.0033039945418392616
181	река	0.0033031530997323054
182	холод	0.0032931473080726943
183	тихо	0.003288411372920815
184	любви	0.0032865941222495676
185	хотеться	0.0032786921061083102
186	ангел	0.0032651182878888256
187	красота	0.0032528746240796627
188	приходить	0.0032245787063335204
189	давно	0.003205912519405717
190	***	0.003164896254287413
191	город	0.00316332349745544
192	гореть	0.003156164151441421
193	www	0.0031454934979041256
194	свеча	0.003143755534325617
195	внутри	0.0031388186545343155
196	грусть	0.0030983352293076304
197	2010	0.0030811294870900846
198	много	0.0030761365401814292
199	память	0.0030746658167802956
200	ru	0.0030696357049176696
201	помнить	0.003040743901502162
202	больно	0.0030378094993281563
203	ли	0.0030167271549001837
204	вот	0.003014872572355051
205	сквозь	0.0030096429786571725
206	никто	0.002999844072965349
207	становиться	0.002986770427321664
208	падать	0.0029801059481643207
209	понимать	0.00297648683304115
210	век	0.002971247874457644
211	рассвет	0.002969214407761256
212	другой	0.00296046142158733
213	искать	0.0029563952051490927
214	волна	0.002945388260983101
215	яркий	0.002944837877952145
216	проходить	0.0029339533012476718
217	чудо	0.002930757396402301
218	крыло	0.0029248657649690976
219	2011	0.002915538889904255
220	лето	0.0029141139850185197
221	уже	0.0029069662299486864
222	сказать	0.0029034308061563884
223	луч	0.002901646538740249
224	лес	0.002898264001223218
225	нежно	0.0028964533408466736
226	светлый	0.0028909861390675204
227	земной	0.002873384878364531
228	красивый	0.002873106145256482
229	мороз	0.0028718989759343324
230	здесь	0.00286572941480982
231	рецензия	0.0028621176822259684
232	теперь	0.002858650877938721
233	звук	0.0028581600694121143
234	вера	0.0028451557789738163
235	в1	0.002841757989884781
236	летать	0.0028407356662088425
237	тьма	0.0028403565771114173
238	тоска	0.002822166691386267
239	поэт	0.0028117449861791285
240	или	0.002805303691306371
241	слышать	0.0028021099049187967
242	туман	0.002801075463602897
243	хороший	0.0027972072741973644
244	играть	0.002789497815487013
245	стена	0.002787305736186064
246	оставаться	0.002767370991937975
247	пустота	0.002759355005290503
248	зимний	0.002758001990006001
249	живой	0.0027523410710257783
250	одинокий	0.002747229460400601
251	2017	0.0027360350786727445
252	дух	0.0027352309353134733
253	зачем	0.0027297160421716187
254	чужой	0.0027243568350657442
255	музыка	0.0027011897751762453
256	оставлять	0.0026981149495193396
257	2016	0.0026980949174758577
258	вселенная	0.00269722225276039
259	край	0.002695165548724138
260	покой	0.002677262829909094
261	надо	0.0026760519078892334
262	рай	0.0026628100834650724
263	больше	0.002647862483587277
264	петь	0.002645253727637298
265	ничто	0.002644674895322486
266	находить	0.0026372692226455147
267	просить	0.0026300619321731164
268	уж	0.00262061171685775
269	снежинка	0.002617953141228308
270	беда	0.0026124737731886747
271	лететь	0.0026009464094202506
272	желание	0.002591624319574851
273	спать	0.0025906734243209264
274	ребенок	0.00258501859959515
275	вечер	0.0025830307007726006
276	небес	0.0025808759098388014
277	вечно	0.002579539648875341
278	жаль	0.0025788684116174786
279	ложь	0.0025783985619965083
280	Все	0.0025715255743622976
281	дышать	0.0025697486240221466
282	цикл	0.002565202970455939
283	среди	0.0025514496213652504
284	страх	0.002546245552191876
285	который	0.0025403287087037577
286	смерть	0.002539903478632224
287	теплый	0.0025334995427631585
288	грех	0.0025333996347297887
289	наверно	0.002530964680622013
290	чувствовать	0.002527717890266425
291	во	0.0025275849526323183
292	еще	0.0025122141364324856
293	думать	0.00250739434339944
294	08	0.002507306741607157
295	цветы	0.0025060794303084573
296	старый	0.002499267701243531
297	вместе	0.0024966905665738826
298	що	0.002493507155802172
299	отдавать	0.002492188295428099
300	бывать	0.0024873221448243016
301	грудь	0.002484095502898529
302	сказка	0.0024790055538820035
303	бежать	0.002474035804838701
304	стихи	0.002472107483621983
305	говорить	0.002468055222835259
306	дерево	0.002466377562043178
307	прошлое	0.0024641666723640805
308	душ	0.0024616113759831732
309	поле	0.002456313682022833
310	очень	0.0024551997435588446
311	вдохновение	0.0024546111378006
312	терять	0.0024487569837789904
313	смысл	0.0024356482510101266
314	совсем	0.0024236236071250175
315	дверь	0.0024226392907591193
316	берег	0.0024202429199934898
317	пустой	0.002418468162037271
318	сам	0.0024169312866310516
319	ладонь	0.002407696481944337
320	ваш	0.00240509770562209
321	шаг	0.002398430787146656
322	мгновение	0.0023824733683434516
323	сад	0.0023659753280889633
324	почему	0.002364190100368762
325	чай	0.002363717647240551
326	дорогой	0.0023615766084177756
327	голос	0.0023556328445519313
328	крик	0.002352299544388245
329	обнимать	0.002341234248607903
330	страдать	0.0023401578809943923
331	вдруг	0.0023396682230804335
332	уставать	0.0023305947799115586
333	след	0.0023301233707867974
334	природа	0.002329713828570196
335	гора	0.0023286116748054268
336	христос	0.002328444670530699
337	такой	0.0023283131816945854
338	2013	0.002323517450887865
339	сильно	0.002321867722002499
340	черный	0.0023201463467343074
341	звёзд	0.0023175396121398926
342	2012	0.0023015919721010936
343	хоть	0.0022973672588151623
344	ответ	0.002297318200333359
345	страна	0.0022970874467867198
346	добро	0.0022873326544688025
347	сын	0.0022802425536592045
348	праздник	0.002279025885998165
349	воздух	0.002278294780861281
350	оно	0.0022714484550119137
351	ум	0.002264452795656362
352	бояться	0.0022640195273744604
353	увы	0.0022589684458844206
354	тебя	0.0022556541343754957
355	мечт	0.0022398838944073128
356	красный	0.0022378118286124427
357	жду	0.0022351187866363077
358	трава	0.002233856364482281
359	закрывать	0.002231861971940576
360	желать	0.0022267803895528863
361	лицо	0.002224057195479889
362	скучать	0.002216941093012854
363	небесный	0.002216014898250121
364	пока	0.002185393961778827
365	океан	0.0021834275943173314
366	потому	0.0021826610070180283
367	запах	0.002177005265167263
368	народ	0.002173554394793673
369	читать	0.0021655441290621895
370	вчера	0.0021646396303639927
371	важный	0.0021620723515720103
372	простой	0.002162021536381907
373	лед	0.0021573522688756613
374	чистый	0.0021486717947246646
375	планета	0.0021424519181315856
376	скоро	0.0021404055043983284
377	отец	0.0021363783026163504
378	you	0.0021296654862342176
379	улица	0.0021289656357470947
380	добрый	0.002120487490564368
381	даль	0.002119884262173403
382	закат	0.0021181579354543987
383	солнечный	0.002113462949154696
384	истина	0.0021001721534369
385	стоять	0.002099414410837038
386	краска	0.0020972110545856523
387	пить	0.0020941595043184585
388	близкий	0.002092759840916737
389	2014	0.0020876025910233262
390	ночной	0.0020826887886872276
391	2015	0.002079500898906111
392	встреча	0.0020771620841957476
393	страшный	0.00207296765027751
394	девочка	0.002070825162067493
395	меня	0.002067995556741542
396	стоить	0.0020629888193097754
397	мама	0.0020612682473151317
398	последний	0.0020403763814940824
399	ее	0.0020398652629052645
400	вспоминать	0.0020387462272529015
401	согревать	0.0020385309594128575
402	час	0.002035284423897849
403	желанный	0.0020238191625029244
404	Как	0.0020194809978467316
405	слёз	0.0020177489936703723
406	спасибо	0.002011020950300533
407	порой	0.0020010803393861612
408	снежный	0.0019844865850757484
409	молчать	0.001981286201107037
410	фонарь	0.0019804510840138448
411	равный	0.001978851447251118
412	танец	0.001978436367161283
413	нога	0.001978132231351421
414	долго	0.0019748453518169634
415	вокруг	0.00196633357460625
416	сиять	0.0019658406641386798
417	игра	0.0019624362791618778
418	святой	0.001958383728640348
419	наступать	0.0019533477648866733
420	глубина	0.0019465319314792315
421	одиночество	0.0019450590843598137
422	трудный	0.001944651764692549
423	дым	0.0019395914567163065
424	смеяться	0.0019390718035316287
425	помогать	0.0019381915251049367
426	строка	0.0019363096146794384
427	вино	0.0019314031659975015
428	ть	0.0019276021868052079
429	нто	0.0019262524430072078
430	Ты	0.00192180218303662
431	иногда	0.0019151376054950741
432	ад	0.001914385260471073
433	улыбаться	0.001912273035003034
434	капля	0.0019112978765623697
435	пыль	0.001911085197239597
436	объятие	0.0019101582161474575
437	завтра	0.0019070059213582196
438	сколько	0.0019024714185041933
439	сейчас	0.0019024008049697597
440	палец	0.0019004913102674654
441	Иисус	0.001895878773608382
442	просыпаться	0.0018943898320191055
443	свобода	0.0018898895359347673
444	голова	0.001886830285720347
445	имя	0.0018836599745525257
446	между	0.0018761429151254753
447	чуть	0.001874313692153395
448	цветок	0.0018739321219032761
449	е	0.0018718131770126707
450	ну	0.0018682290062020299
451	казаться	0.0018630493229237375
452	ласкать	0.0018627332858208994
453	темный	0.0018619041213235163
454	пора	0.0018585139629572187
455	~	0.0018581382947554367
456	убивать	0.0018572299834705875
457	хорошо	0.0018565796523991758
458	сидеть	0.0018495279334454974
459	кричать	0.001834551839529104
460	какой	0.0018329445554057403
461	пространство	0.001824929320875352
462	обида	0.0018245282768058935
463	й	0.0018161992015942787
464	страница	0.0018129395556829217
465	биться	0.0018059410714782542
466	сильный	0.001803445514492283
467	дно	0.0018024374832293082
468	автор	0.0018013468380156713
469	горький	0.0017976126024257545
470	сгорать	0.0017903286604517457
471	серый	0.0017813906498147809
472	осенний	0.001779080679005431
473	мать	0.001776487091111067
474	забота	0.0017664600618615882
475	рождаться	0.0017550840967889086
476	люблять	0.0017542223226999969
477	чей	0.001754039688163016
478	маленький	0.0017476081463117137
479	война	0.0017443497567526999
480	камень	0.0017431031966846737
481	правда	0.0017421561639197386
482	далеко	0.001738657264688922
483	разбивать	0.001736567761086135
484	самый	0.0017351201634363904
485	строчка	0.0017344126397039951
486	куда	0.0017323235583967232
487	можно	0.001726660713116846
488	дыхание	0.0017255724017876742
489	потом	0.0017199953884478034
490	первый	0.0017197769764043178
491	доброта	0.0017144749444185882
492	тонкий	0.001707651420673208
493	золотой	0.0017055987742637085
494	кофе	0.0016959468456138429
495	конец	0.0016958114419714518
496	зло	0.0016945748439520197
497	кожа	0.001693528810657373
498	нить	0.0016927271626914612
499	зеркало	0.0016901135015469076
500	ложиться	0.0016900063682083438
501	суть	0.0016886980610705158
502	чем	0.0016852236595140538
503	уметь	0.0016847885032974389
504	хватать	0.0016782260309085165
505	встречаться	0.0016717014072496
506	тайна	0.0016709774615358214
507	растворяться	0.0016670533570042256
508	тысяча	0.0016580979781219479
509	разум	0.0016579295732247247
510	11	0.0016535471981852555
511	даже	0.0016457497838758297
512	т	0.0016388889135476865
513	раз	0.001638277979995942
514	простор	0.0016369637463583353
515	лучший	0.0016361931023453874
516	маска	0.0016319862170575063
517	слишком	0.0016313382724130758
518	шептать	0.0016279843536363726
519	брать	0.0016262592014997122
520	спешить	0.001626006451525041
521	the	0.0016257079656296105
522	воспоминание	0.001625353254182939
523	подарок	0.0016165629429015825
524	улетать	0.0016160947359471166
525	горе	0.0016141793881659424
526	россия	0.0016112516653370341
527	тихий	0.0016111448754149227
528	брат	0.0016088597121200832
529	бытие	0.0016068252229481893
530	хранить	0.0016048108841814949
531	ожидание	0.0016032541596020067
532	ошибка	0.0015995769726664902
533	нибудь	0.0015945736089233936
534	рад	0.0015941623498077586
535	приносить	0.0015927732973674243
536	женщина	0.0015921108959184318
537	пламя	0.0015902217338289242
538	стекло	0.001585847351386426
539	враг	0.0015831864668218202
540	узнавать	0.0015820348984315735
541	i	0.0015820189643586573
542	выбирать	0.0015793358906941682
543	книга	0.0015776660404989888
544	мало	0.0015745175286261063
545	готовый	0.001573432939235962
546	круг	0.001572340326235546
547	два	0.0015711378361522087
548	тогда	0.0015684771561530991
549	легкий	0.0015667939021839074
550	благодать	0.001565439868205103
551	немного	0.001562943739616529
552	бой	0.0015628045472072883
553	глупый	0.001561070305653177
554	зверь	0.0015592103637623326
555	целый	0.0015517813218569538
556	далекий	0.0015512115443072304
557	случаться	0.0015508126929043278
558	бросать	0.0015495250972332767
559	губ	0.0015463446200156593
560	отпускать	0.0015454532590079158
561	ль	0.0015428130793317906
562	песок	0.0015388710910864665
563	кот	0.0015351037152276422
564	часто	0.0015349283865221238
565	бар	0.001534151771614391
566	касаться	0.0015306697287518368
567	ходить	0.0015290890561646198
568	однажды	0.0015246946033768325
569	туда	0.0015230131275272092
570	чёрный	0.0015223217570768841
571	бесконечный	0.0015196387058668656
572	мудрость	0.0015184627346060363
573	встречать	0.0015183984742440277
574	обман	0.0015180001790398342
575	пепел	0.0015178523845204117
576	немый	0.0015174371120294195
577	сн	0.001517116643845016
578	горизонт	0.0015161992595708444
579	детство	0.001515546515623826
580	мука	0.0015151240134338218
581	мимо	0.0015134383403747034
582	проблема	0.001512573148888552
583	струна	0.0015111615458247886
584	слушать	0.001509878129162275
585	полный	0.0015092671539316625
586	поцелуй	0.0015079648505630916
587	большой	0.0015059807888706163
588	превращаться	0.0014997198065589824
589	туча	0.001495876154900557
590	ветка	0.0014946777886261477
591	плод	0.0014939563409909957
592	поздравлять	0.0014934404714059797
593	ах	0.001492901523225737
594	слава	0.0014923929845717387
595	Usa	0.0014863570499153115
596	наслаждаться	0.0014774802916841035
597	странный	0.001475348219474383
598	секунда	0.0014741603572455933
599	молча	0.001473843606593789
600	точка	0.0014726653185825932
601	ласка	0.0014713747643783912
602	удача	0.0014710460997438702
603	создавать	0.0014684674062215948
604	верный	0.0014670777351458075
605	09	0.0014660434842885086
606	место	0.0014611390243767358
607	делать	0.0014579507356803115
608	легко	0.0014573080280352564
609	безумно	0.0014570447807853032
610	весенний	0.001456893149965785
611	волос	0.0014566920812127907
612	иисус	0.0014547506637873123
613	плечо	0.0014519258195299974
614	предавать	0.0014506323372528846
615	похожий	0.0014486044099234969
616	разный	0.0014480633597633563
617	болеть	0.001445990542654629
618	ждти	0.0014456850649706512
619	молитва	0.0014450701137153866
620	волшебный	0.0014371382479794789
621	пытаться	0.0014370667212999727
622	02	0.0014353716801170785
623	спина	0.0014336414215058066
624	собака	0.0014330680825726245
625	утопать	0.0014318657359531754
626	меж	0.0014305232203165909
627	воля	0.00142987168840647
628	молчание	0.001425424164802504
629	письмо	0.0014248220938450885
630	отражение	0.0014239107352137458
631	мозг	0.0014228250870244495
632	синий	0.001421844885198192
633	Божий	0.0014213792482452969
634	вдыхать	0.001420127313597937
635	2	0.001415158308820914
636	крыша	0.001414525537430122
637	лежать	0.001408555964749303
638	рано	0.001408400388515128
639	звучать	0.0014073756461054534
640	ноябрь	0.0014065962008089413
641	поверить	0.0014059346513777822
642	вернуться	0.0014057557956340888
643	вперед	0.0014055169599733416
644	жар	0.0014044245832039244
645	мост	0.0014037977229725588
646	проз	0.0014016644642534262
647	глядеть	0.0013999649474740782
648	нельзя	0.001398213211018527
649	ца	0.0013959809948958432
650	невозможный	0.0013931634079366473
651	гулять	0.0013898033606985158
652	замирать	0.0013819781242114177
653	спасать	0.0013794070113557202
654	приятный	0.0013786104310113713
655	впереди	0.0013779833364512056
656	стремиться	0.0013776630661952436
657	плоть	0.0013770306092354182
658	страдание	0.001376598815177858
659	рана	0.001376209813588236
660	крест	0.0013744758569511275
661	художник	0.0013739423353605717
662	бокал	0.0013696302148884783
663	жалеть	0.0013666311130090714
664	вставать	0.0013642850409474455
665	дружба	0.0013619808015555247
666	хотя	0.0013549317020296377
667	разве	0.001351844212504999
668	рисунок	0.0013482840797744131
669	обещать	0.0013477677047780846
670	роза	0.001347455429850186
671	д	0.0013453127984271967
672	сложный	0.0013450892967688448
673	всего	0.0013437296640069446
674	нота	0.0013413935837146948
675	двор	0.0013411902072537813
676	таять	0.0013351268008067335
677	асфальт	0.0013308883714594599
678	свое	0.0013308657842463908
679	ощущать	0.0013306000349341243
680	щека	0.0013284161935513128
681	великий	0.0013278900735210744
682	значить	0.0013268053672942915
683	дело	0.0013265687534868252
