	feature	tfidf
0	,	0.046072390864232975
1	и	0.021641018440867715
2	я	0.020147051105193235
3	в	0.016980595029076274
4	!	0.01630036873535292
5	не	0.012194161682196095
6	он	0.008960777398875032
7	ты	0.007720618025069598
8	что	0.006711813243759259
9	на	0.006668150959741478
10	а	0.006401236424236294
11	она	0.006288308010496698
12	*	0.005910460435440348
13	мы	0.005799355652476685
14	быть	0.0053658366394408906
15	мой	0.00509875214713047
16	с	0.004664670068027139
17	они	0.0044604493640451525
18	как	0.004424988063221648
19	вы	0.004416129571762858
20	кровь	0.004408551710595606
21	это	0.004319718953049395
22	человек	0.004162651084595253
23	у	0.004156555616494852
24	кто	0.004120946482762823
25	то	0.003944648865237377
26	все	0.0037714243711721067
27	душа	0.0037713038608030245
28	вот	0.0037166417736769204
29	жизнь	0.003650808586743335
30	http	0.003575523952711282
31	мир	0.0035207985563175037
32	девушка	0.0033533602510223497
33	ru	0.0033289869252667486
34	россия	0.0033240035304742477
35	девочка	0.003250850084731804
36	дверь	0.0032161569772792397
37	от	0.0031870253013401525
38	по	0.003182133787525846
39	нет	0.0031795240088980286
40	|	0.0031175828989780997
41	за	0.003076464262281414
42	вампир	0.003064187617588441
43	наш	0.0030194618162278724
44	12	0.0028941867188810038
45	свет	0.002850450119891307
46	год	0.002816906996836662
47	окно	0.002759750735195441
48	умирать	0.002756471878383553
49	ночь	0.002728323750044033
50	страх	0.0027136869191413033
51	мозг	0.002693968796396041
52	из	0.0026169921399241043
53	нож	0.002575792535698097
54	ну	0.0025612062121086465
55	чёрный	0.002556105684054087
56	комната	0.0025469405542307413
57	к	0.002543152650323243
58	себя	0.0025278385338239028
59	весь	0.002503132777056249
60	но	0.0024958567706819907
61	бы	0.002478229186716714
62	сон	0.0024660870866712804
63	страна	0.0024459910227531126
64	лишь	0.0024426344421323767
65	лес	0.0023638507624557225
66	ребенок	0.0023545083613907107
67	спать	0.002349520342022101
68	голова	0.002301772970140002
69	под	0.002297641943704942
70	или	0.002284937399351593
71	один	0.002279048215662001
72	женщина	0.002254381429137049
73	народ	0.002235939662167037
74	словно	0.0022274900335188226
75	парень	0.0022229648078073224
76	друг	0.0022042875626589052
77	русский	0.0021990544909036465
78	там	0.0021811491314384867
79	снег	0.0021763667700153695
80	тело	0.0021755619748754745
81	путин	0.0021729188704569646
82	о	0.002160508401768212
83	такой	0.002150183730686213
84	ни	0.0021479059587719055
85	кладбище	0.00214152005564186
86	этот	0.0021368367762878114
87	бред	0.002125770315840075
88	бог	0.0021217442076666357
89	папа	0.002120780133989803
90	мама	0.002111682232165473
91	свой	0.002107883641898677
92	жертва	0.0020972890329905166
93	ад	0.0020959466365689326
94	дом	0.0020864049928512826
95	так	0.002047103620064207
96	до	0.002042866988160406
97	мужик	0.0020360844939561313
98	да	0.0020177677284137323
99	интернет	0.0020048781171498526
100	твой	0.0020028321551377143
101	убивать	0.0019881914523631307
102	призрак	0.0019816790127731997
103	водка	0.001976676516874649
104	новый	0.0019703435346538683
105	крик	0.0019667200906691314
106	кровать	0.0019641017074785946
107	рисунок	0.0019402407787506093
108	кошмар	0.0019376462398174898
109	любить	0.0019307321324389796
110	стих	0.0019276727493313126
111	Саш	0.0019180750458043605
112	чтобы	0.001914798604322876
113	любовь	0.0019105221489948857
114	мальчик	0.0018985217793206712
115	мочь	0.0018954343115298812
116	президент	0.0018770837893654728
117	уж	0.0018770351699552417
118	смотреть	0.0018764725277700034
119	власть	0.001872550693761131
120	видеть	0.001864607724535853
121	стена	0.0018532717374545712
122	автор	0.0018420681070548395
123	страшный	0.0018408896390560057
124	тот	0.0018376386543450945
125	черный	0.0018300751507910737
126	сердце	0.001828474231040336
127	машина	0.0018166802722547975
128	рука	0.001814469555379275
129	для	0.0018061593753292112
130	же	0.0017929100178105638
131	много	0.0017863233449637182
132	тьма	0.0017854467088927078
133	дед	0.0017827634720146697
134	погибать	0.0017718736552633314
135	www	0.0017585429876394425
136	ходить	0.00175111832630564
137	жить	0.0017470640773041197
138	собака	0.0017469386346235336
139	з	0.0017464952772866184
140	2017	0.0017447105517627826
141	снова	0.0017402908778023619
142	Джек	0.001740250065089845
143	кричать	0.001740034037808492
144	рот	0.0017317128558537692
145	бежать	0.0017263061348675051
146	труп	0.001722634724192226
147	когда	0.0017146882377998534
148	знать	0.0017052406405755687
149	старуха	0.001705190170445911
150	ваш	0.0017030356072731613
151	говорить	0.0016973507358664054
152	мысль	0.0016960903839012215
153	бояться	0.0016831896664190485
154	кошка	0.0016734356717811995
155	земля	0.0016581742179074541
156	белый	0.0016549254990408475
157	**	0.0016534803075531305
158	ужас	0.0016453679252286296
159	здесь	0.0016421689377333702
160	е	0.0016414188734628155
161	закон	0.0016337821343027044
162	только	0.0016327598313672842
163	поле	0.0016298032107090307
164	1	0.001628167857763836
165	иль	0.0016259069227406214
166	бабушка	0.0016174376399608484
167	старый	0.0016112954574573348
168	теперь	0.0016096943146537157
169	вода	0.0015835206181448768
170	никто	0.0015817152294423326
171	хотеть	0.0015809766648320989
172	мать	0.0015730558831238632
173	***	0.0015716290348369289
174	страница	0.0015706442948907454
175	тварь	0.0015569713170013023
176	сам	0.0015543196955852272
177	мистер	0.0015498099684223272
178	демон	0.001548639097117791
179	декабрь	0.001548056594323384
180	потому	0.0015418416925743852
181	proza	0.0015397262662230902
182	смерть	0.0015392661969119974
183	2016	0.0015391175066487189
184	какой	0.0015389802182017753
185	боль	0.0015379839152120972
186	если	0.0015345209065341123
187	пьяный	0.001533975553664403
188	квартира	0.001530931276692152
189	улица	0.001530773922957269
190	череп	0.001522290927641103
191	Лиза	0.0015125294422607643
192	сегодня	0.001511122120912722
193	зло	0.0015089983503101935
194	бесконечный	0.0015078383980957303
195	врач	0.00150781060797475
196	помнить	0.0015049997719860215
197	еще	0.0014976662897909449
198	война	0.001494619871211027
199	потом	0.0014906719438953406
200	духовный	0.001470213264104472
201	маньяк	0.001469704655008708
202	тень	0.0014644303904405532
203	лицо	0.0014630128123576168
204	сайт	0.001459966178445001
205	понимать	0.001455419023694166
206	топор	0.0014539427399622347
207	старик	0.0014536951482691405
208	падать	0.001449847750516646
209	кот	0.0014498040800802678
210	холод	0.0014493775648118745
211	российский	0.001443985669551053
212	без	0.0014379305875710491
213	сша	0.0014368849345630793
214	гроб	0.0014340072034282124
215	маленький	0.0014289420502748421
216	сказать	0.0014284638932296233
217	где	0.0014275933330650029
218	город	0.0014215486005325821
219	существо	0.0014197575103768569
220	ветер	0.0014171104553404917
221	про	0.0014102066182395683
222	два	0.001408224463736419
223	убийца	0.0013973073782128907
224	мясо	0.0013970822997333883
225	ведь	0.0013970636293808422
226	стать	0.00139387879662816
227	мрак	0.0013850285320322212
228	рубль	0.0013837338298056724
229	нужный	0.0013762835839916689
230	другой	0.0013723537175196893
231	уже	0.0013677439504610088
232	пол	0.0013667190707082695
233	р	0.0013656590191093027
234	доктор	0.0013545730198773979
235	2013	0.001352550916688085
236	становиться	0.0013508424328272223
237	сергей	0.001349564380003517
238	2010	0.0013487732651546861
239	опять	0.0013466316022978375
240	больше	0.0013432963532881291
241	Катя	0.0013431634043898511
242	родитель	0.0013383488906536427
243	злой	0.0013337410911744736
244	перед	0.0013295194101392207
245	процент	0.0013284282533463471
246	зеркало	0.0013274587659511102
247	французский	0.0013271144530591823
248	ум	0.0013262568986054854
249	просыпаться	0.0013206317779096194
250	дорога	0.00131936044187623
251	темнота	0.0013182975766472787
252	й	0.0013175221412054811
253	который	0.001317075831443407
254	дышать	0.001316566101748986
255	магазин	0.0013132504085349012
256	пить	0.0013081850202393776
257	князь	0.0013035526791512
258	небо	0.001300293582187208
259	во	0.0012978056978064042
260	евгений	0.0012957972581292632
261	оно	0.0012942842066284675
262	остров	0.0012942699872256164
263	тут	0.0012927390981929514
264	живой	0.0012925314485280816
265	писать	0.001288758716182137
266	утро	0.0012862220701279597
267	грязь	0.0012842307570270495
268	ничто	0.0012807141958088317
269	рецензия	0.0012806637157037513
270	рф	0.0012664962884215557
271	б	0.001263424744485434
272	монстр	0.001262775655490685
273	баба	0.001257157770915141
274	играть	0.0012571485056272766
275	мужчина	0.001257128154023262
276	владимир	0.0012564197214502307
277	зверь	0.0012548875228663913
278	век	0.0012545987933705758
279	ненависть	0.001251909009030228
280	жена	0.0012518213542349569
281	день	0.0012493267692536127
282	мороз	0.0012458488991375488
283	андрей	0.0012445866524303903
284	вниз	0.001242178048893231
285	крыса	0.0012347387011545092
286	дух	0.0012345385404450824
287	вор	0.0012339064815185964
288	2014	0.0012335899333864233
289	герой	0.0012325424186760228
290	нога	0.0012289470989228553
291	отец	0.0012273429655048453
292	тёмный	0.0012258868561908138
293	Нина	0.0012175463751748826
294	детский	0.0012159376759122281
295	деньги	0.0012150715636662548
296	com	0.0012134902344512913
297	миллиард	0.0012123350734136388
298	надо	0.0012107372849049342
299	брат	0.001209147646373663
300	книга	0.0012079926011382405
301	мёртвый	0.0012074989138024022
302	дым	0.0012070269314885334
303	саша	0.0012033637590034179
304	больной	0.0011995571775185484
305	конец	0.0011975908128755276
306	странный	0.0011956442694022328
307	контакт	0.0011843239254436698
308	деревня	0.0011828257748936171
309	беда	0.0011818770430287436
310	москва	0.001179649770059599
311	эх	0.0011781299103632654
312	писатель	0.0011746205994754171
313	пуля	0.001174171699993866
314	через	0.001172340371509836
315	2	0.0011717714369993105
316	Саша	0.0011699814252047218
317	пасть	0.0011696021103119575
318	бабка	0.0011690438327436009
319	ангел	0.001166890706994247
320	Совсе	0.0011623325747679783
321	пьяной	0.0011615501542656776
322	стоять	0.0011614649212963535
323	Алекс	0.0011584416165276103
324	хотеться	0.0011567976185587832
325	миллион	0.0011550005164434553
326	несчастный	0.001152760963580096
327	март	0.0011506714601492872
328	слышать	0.001148071487323461
329	стол	0.0011463725348775599
330	над	0.0011462953619038867
331	давно	0.0011446297100115663
332	знак	0.001143470284545276
333	часто	0.0011425856643903073
334	тысяча	0.0011416324123099556
335	що	0.0011410146004224553
336	3	0.0011366793158921326
337	условие	0.0011342875672383235
338	ть	0.0011318733038718869
339	елка	0.0011315197227932128
340	брать	0.0011308167029851148
341	завтра	0.0011306028918098147
342	путь	0.0011298308689379343
343	очень	0.0011289131462710114
344	пожар	0.0011288855961711732
345	ный	0.0011283618744051844
346	вечный	0.0011278214507769826
347	больница	0.0011275425493681838
348	чуть	0.0011271839182255678
349	замок	0.001124277618837315
350	кафе	0.0011231701797097826
351	сеть	0.0011230536879337986
352	11	0.001116457926112263
353	10	0.0011154690964825496
354	голод	0.0011153119402501038
355	тип	0.0011151999003779778
356	вдруг	0.001111921961237645
357	покупать	0.0011110770081469198
358	фонарь	0.0011105432136616126
359	украина	0.001110480961520866
360	сосуд	0.0011083159880963952
361	солдат	0.001106338834904336
362	лететь	0.0011051695454547409
363	Марк	0.0011049924033068182
364	кукла	0.0011037178560217296
365	рассвет	0.001101392749014825
366	звук	0.0010989058847288762
367	грех	0.0010984441124551629
368	холодный	0.0010973579084218037
369	заходить	0.0010944369457822464
370	опасный	0.0010873617516138432
371	почему	0.0010859297622225583
372	коридор	0.0010841035401614523
373	ее	0.001081516237359647
374	s	0.0010815128851137442
375	ибо	0.0010801949977345604
376	почти	0.0010794949041712572
377	зима	0.0010771038528891198
378	жрать	0.0010766526270470735
379	сила	0.0010764929844242165
380	новость	0.001075726459325526
381	сука	0.0010757220151364668
382	маска	0.0010752444064597967
383	безумный	0.001073881960501569
384	глаз	0.0010737652331587616
385	фонарик	0.001072522476040415
386	озеро	0.0010717526789122648
387	находить	0.0010716793338792158
388	стекло	0.001070576350307303
389	жуткий	0.0010666834836889304
390	страсть	0.0010637355331341379
391	самый	0.0010630756731053494
392	быстро	0.0010613430275214406
393	голос	0.001060718149741887
394	звезда	0.001058592998282134
395	разум	0.0010570097390335672
396	отражение	0.0010550806013580494
397	время	0.001054878927723576
398	водитель	0.0010545593322644805
399	вино	0.001049937240760796
400	могила	0.0010495957246986238
401	идти	0.001045807920021548
402	пустой	0.0010450431422948608
403	болезнь	0.0010448220805115444
404	2015	0.0010406823359319114
405	спасать	0.0010403533405996001
406	стихи	0.0010393417730285837
407	луна	0.0010383480058165874
408	даже	0.0010358224433083115
409	вагон	0.0010356075438790096
410	планета	0.0010351457486101768
411	туалет	0.0010349341468756765
412	исчезать	0.0010344856422523257
413	черт	0.0010341938867993617
414	древний	0.0010331253335772797
415	вокруг	0.001032488698874318
416	свеча	0.0010292946698356423
417	Диан	0.0010286000582717472
418	никакой	0.0010285232208768094
419	подвал	0.0010278779307959002
420	олег	0.0010254848462624604
421	ль	0.0010239107521315567
422	новогодний	0.0010214487768776558
423	автомобиль	0.0010211197214972524
424	полицейский	0.0010207299397482655
425	огонь	0.0010191090511526366
426	править	0.0010185060419093932
427	оборотень	0.001017905769001732
428	кусок	0.0010172223022959029
429	раб	0.0010164538293694065
430	ли	0.0010159128509204553
431	превращаться	0.0010155933521815686
432	китаец	0.0010154231852976103
433	порождать	0.0010141754265038396
434	старушка	0.001011778606416409
435	казаться	0.0010089068651188975
436	палец	0.0010086494203140393
437	хлеб	0.0010072626993157569
438	бес	0.0010064941266380927
439	ждать	0.001005694869970527
440	23	0.0010040742966474102
441	убийство	0.0010038519043044703
442	крыша	0.0010032607227865881
443	фото	0.0009997600275000122
444	дождь	0.0009956744327706507
445	марина	0.0009930517329082376
446	крышка	0.000992757669271583
447	правило	0.0009910984658548976
448	ящик	0.000990763741181385
449	выходить	0.0009888838809298103
450	существование	0.0009883312954380812
451	трава	0.0009880698978821938
452	счастье	0.0009869259294428784
453	жаль	0.0009854233855717215
454	цель	0.0009846755829762157
455	побежать	0.0009839586257949782
456	мол	0.00098372267007713
457	балкон	0.0009808730845533554
458	последний	0.0009806674905544132
459	орать	0.0009798156954944886
460	царь	0.000978154039226655
461	пойти	0.0009779905767284827
462	ради	0.0009755971086969284
463	час	0.0009735628708734868
464	смех	0.0009732107597330449
465	тишина	0.0009730572226031949
466	петь	0.0009730471454038429
467	камень	0.0009723751898906484
468	враг	0.0009704873570298249
469	мусор	0.0009685609270986412
470	река	0.0009681786189112007
471	рожать	0.0009666043567900992
472	восток	0.000964829448771247
473	дочь	0.0009645616894235485
474	ж	0.0009625580984313238
475	куда	0.0009615279301751677
476	плоть	0.0009597188501566202
477	чудовище	0.0009547145887938452
478	Марина	0.0009539448660846243
479	подъезд	0.0009518733745101372
480	борт	0.0009509790613674936
481	радость	0.0009501960454689902
482	хищник	0.0009497334692714162
483	пока	0.0009495245778495466
484	полный	0.0009481255298396049
485	асфальт	0.0009474427064011771
486	чужой	0.0009440658524985482
487	вопрос	0.0009420698415113777
488	поэт	0.0009366037346191682
489	пистолет	0.0009340329177593928
490	произведение	0.0009325581851998445
491	подробно	0.0009320688042417551
492	впереди	0.0009281777308310194
493	пусть	0.0009275438930001113
494	удар	0.0009265714179134925
495	граф	0.0009260201709838428
496	сестра	0.0009255850401309058
497	15	0.0009254727097056918
498	приятель	0.0009235389484436791
499	страдание	0.0009232621168609124
500	темный	0.0009221939654193491
501	ухо	0.0009203198017197629
502	есть	0.0009198318631096489
503	автобус	0.0009195307737077762
504	избирать	0.0009182920653439861
505	горе	0.0009182890447693088
506	стрелять	0.000917911147616823
507	кожа	0.00091569883223685
508	делать	0.0009149394290709659
509	текст	0.0009142558928422771
510	приходить	0.0009126291227019637
511	паша	0.0009098236243104777
512	ленин	0.000907253175602814
513	любимый	0.0009067350259041298
514	корабль	0.000906540664190188
515	вчера	0.0009043421511940283
516	включать	0.0009034899168327213
517	надежда	0.0009027830652381304
518	дикий	0.0009001898648837819
519	имя	0.0008992047024659716
520	свобода	0.0008980080688658584
521	забывать	0.000897759327736969
522	школа	0.000897275020558167
523	чиновник	0.0008945494840653833
524	дядя	0.000894195494960073
525	общество	0.0008920592947855917
526	население	0.0008914529829985847
527	пахнуть	0.0008913284009739667
528	родной	0.0008909725928007772
529	звучать	0.000890829718057039
530	ген	0.0008888305903003797
531	глупый	0.0008877389335969593
532	прятаться	0.0008872543651765989
533	уставать	0.000885766516983012
534	меч	0.000885460858010029
535	безумие	0.0008838239790621195
536	борьба	0.0008809750791769132
537	мое	0.0008801733942683142
538	после	0.0008798046856941967
539	прямо	0.0008766567673209346
540	верить	0.0008752092566360055
541	крест	0.0008748324278330333
542	главный	0.0008742199401264588
543	благ	0.0008732300984216262
544	шкаф	0.0008725395864329803
545	крыло	0.0008723591230762432
546	свинья	0.0008720581259724521
547	гора	0.0008717777107625572
548	стакан	0.0008704851674737267
549	бросать	0.0008699172976931404
550	кухня	0.0008697259006186632
551	суд	0.0008691866121769321
552	бутылка	0.0008683302652632447
553	поздно	0.0008668318634379908
554	хватать	0.0008659716384235599
555	лампочка	0.0008648689528309234
556	судьба	0.0008634768121716578
557	ребята	0.0008628178060003334
558	дерьмо	0.0008627601611323762
559	уровень	0.000862384591452688
560	господь	0.0008623245532256654
561	искать	0.0008619850891772388
562	дьявол	0.0008619557540478702
563	дело	0.0008615950442692017
564	командир	0.0008613346287439697
565	тихо	0.0008610149467465504
566	учиться	0.0008605105634621132
567	этаж	0.0008595581535384122
568	ощущать	0.00085905355046412
569	страшно	0.000858862473141011
570	идиот	0.0008583373603765833
571	рита	0.0008549947054882582
572	круг	0.000854620376536986
573	30	0.0008536969057548273
574	сходить	0.0008527029155519541
575	игорь	0.0008515111657051728
576	красивый	0.0008510588084986267
577	капитан	0.0008500731254066594
578	ощущение	0.0008488256494311206
579	сильный	0.0008484887106221153
580	вновь	0.0008481299823949226
581	дима	0.000846577006940692
582	резать	0.0008460359750548981
583	всегда	0.0008448715140314032
584	хорошо	0.0008439390124574691
585	наступать	0.0008430750579194362
586	при	0.0008412749647393438
587	рай	0.0008403962725765355
588	хороший	0.0008400804674590886
589	каждый	0.0008397858736953467
590	прекрасный	0.0008383465746378337
591	старость	0.0008379678690249628
592	сын	0.0008361405278969211
593	мелочь	0.0008355036740143005
594	медленно	0.0008354277472775603
595	поезд	0.0008339040060814967
596	сахар	0.0008323579478711343
597	башка	0.0008320009849695174
598	появляться	0.0008318741542352754
599	будто	0.0008316706913535133
600	дерево	0.0008307145535886209
601	убегать	0.000830096563052021
602	сигарета	0.0008299398482388543
603	плохой	0.000827907209305728
604	лежать	0.0008271769592623214
605	страдать	0.0008267629708308152
606	никогда	0.0008259344738816253
607	считать	0.000824110095571652
608	музыка	0.0008233246897581198
609	голодный	0.0008219149459218249
610	проект	0.0008219056295995521
611	вд	0.0008213329324856367
612	тоска	0.0008211298822954691
613	европа	0.0008204676193590723
614	ось	0.0008186506713162348
615	здание	0.0008186473848359577
616	помогать	0.0008183074832887389
617	поэзия	0.0008175983880432802
618	наверно	0.0008174619323675665
619	серый	0.0008161583448872751
620	работа	0.0008161471746917881
621	зал	0.0008154200323106435
622	никак	0.0008147014059905359
623	хвост	0.0008145589414009781
624	коло	0.0008145525071608457
625	игрушка	0.0008125964239574493
626	губа	0.0008124257631706976
627	ссср	0.0008124122055410844
628	зуб	0.0008119788049740077
629	дочка	0.0008118672016251529
630	Стас	0.0008116166143178834
631	шорох	0.0008096298698201794
632	сниться	0.0008083112042054516
633	непонятный	0.0008080171848757663
634	трудный	0.0008077944109560841
635	постель	0.0008071374253163508
636	колесо	0.0008070938252133925
637	таракан	0.0008054642875864358
638	вечер	0.0008052334693164381
639	внутри	0.0008047845713585808
640	гореть	0.0008046072715921403
641	птица	0.0008030047862145546
642	муж	0.0008029961390950904
643	лагерь	0.0008016304693466111
644	22	0.0008009326091700801
645	5	0.0008002317017667514
646	лед	0.000799792771973222
647	Влад	0.0007990923510315829
648	чистый	0.0007974142942470483
649	сладкий	0.0007954909152362834
650	вина	0.0007947137736602732
651	огромный	0.0007933055656414196
652	рыба	0.0007930936289944039
653	мертвый	0.0007925917793740195
654	2011	0.0007903065593089963
655	потеря	0.0007901623337316591
656	волк	0.0007900937951269604
657	любой	0.0007893983839269254
658	хоть	0.0007891135953273751
659	злобный	0.0007877301326274272
660	навсегда	0.000787424036271753
661	лифт	0.0007871131930011041
662	смеяться	0.0007854474922748011
663	хотя	0.000784021981408105
664	вирус	0.0007836498538393122
665	мешок	0.0007829705452095881
666	граница	0.0007827764276348444
667	собственный	0.0007825687785405993
668	история	0.0007820959348941249
669	a	0.000781990118387304
670	незнакомец	0.0007808715978589151
671	клетка	0.0007802784228436562
672	телефон	0.0007795547301667744
673	запах	0.0007792644074420079
674	начинать	0.0007775992623254287
675	вой	0.0007770626829472583
676	всё	0.0007765739233687575
677	острый	0.000774586118240996
678	внутренний	0.0007744095492245609
679	солнце	0.000773776352777905
680	Вика	0.0007732110704168272
681	замечать	0.0007731919243124595
682	происходить	0.0007729874312528132
683	статья	0.0007724691924711969
684	Как	0.0007706210261590777
685	сказка	0.0007703160939651648
686	забор	0.0007703057614402775
687	рождать	0.0007701494911809183
688	сумасшедший	0.0007697735374774539
689	рюкзак	0.0007694429692969519
690	случай	0.0007691069408556287
691	немного	0.0007690583113968397
692	банк	0.0007685905364504965
693	слишком	0.0007682325516993664
694	компьютер	0.0007675988167770406
695	вождь	0.0007670332479502133
696	твориться	0.0007669293022061544
697	як	0.000766685672230445
698	являться	0.0007658717564600991
699	пустота	0.0007658691230231862
700	можно	0.0007653888679740647
701	порой	0.0007651453078735629
702	память	0.0007650092849610784
703	00	0.0007640778756550774
704	i	0.0007640262544132036
705	красный	0.0007638063504219982
706	животный	0.0007613586437562238
707	холодильник	0.0007610742592088364
708	сломать	0.0007603756416515789
709	петля	0.0007599020972890816
710	думать	0.0007595542451134191
711	вулкан	0.000758733166119953
712	закат	0.0007584730946311789
713	разбиваться	0.0007583531111328302
714	семья	0.0007574089860835393
715	нто	0.0007573864050906032
716	болото	0.0007566234206358912
717	ненавидеть	0.0007534007527845649
718	вечно	0.0007528499551170446
719	алекс	0.000750060043868042
720	человеческий	0.0007490974171937615
721	социальный	0.0007488645007729424
722	море	0.0007473119636698117
723	придумывать	0.00074705646487849
724	повод	0.0007467362804082643
725	одинокий	0.0007460286539468884
726	лампа	0.0007448459094616754
727	входить	0.0007448379294870742
