	feature	tfidf
0	,	0.012451775744552999
1	планета	0.008036050731115886
2	корабль	0.006169637777707544
3	я	0.005551915681828212
4	и	0.00480431155416075
5	!	0.0036544106156244606
6	робот	0.0033993991556911293
7	ты	0.0033484218557473886
8	энергия	0.003182083951228304
9	капитан	0.0030689347062829923
10	вселенная	0.003033602170531337
11	*	0.0028552928080376153
12	он	0.002846722109681608
13	фирма	0.0027548393677817137
14	марс	0.002745498249624384
15	вы	0.002684403187622851
16	технология	0.0025972083217461815
17	землянин	0.0025302546323923442
18	космический	0.0024530172585670606
19	Макс	0.002379467506822972
20	материя	0.0022722158657091495
21	Алекс	0.002161688888903086
22	сергей	0.00212116142519308
23	в	0.00206871702628853
24	000	0.0020644513863408162
25	андрей	0.0019795490935248052
26	элемент	0.0019026467659498665
27	она	0.0018923122286219189
28	высший	0.0018870422384265747
29	мы	0.0018309552180252604
30	девушка	0.0018284807449370155
31	пилот	0.0017621353883177345
32	космос	0.0017083964341426442
33	любой	0.0017012729742494786
34	антон	0.0016907108253762923
35	макс	0.0016676564584108065
36	система	0.0016141155657057825
37	Джон	0.001609448424925942
38	Катя	0.0016090787959098993
39	не	0.0015983792941497744
40	земля	0.0015948598487016902
41	демон	0.001575080104011259
42	цивилизация	0.0015690810938212977
43	профессор	0.0015542962937930207
44	они	0.0015522573252487704
45	быть	0.0015442568931828076
46	вампир	0.001541191924175151
47	Влад	0.0014943746731486784
48	зона	0.0014899560269177198
49	вирус	0.0014839075068676156
50	маг	0.00147854829238616
51	галактика	0.0014751333083527663
52	на	0.0014689710952217542
53	дракон	0.0014642720432584246
54	эльф	0.0014543070806721646
55	алекс	0.0014542890804120484
56	генерал	0.0014105080604545502
57	экипаж	0.0014046660761384952
58	николай	0.001404342316586947
59	что	0.0013999668439761
60	инопланетянин	0.001383060150399312
61	экран	0.001356557629537422
62	структура	0.0013504075210746462
63	проект	0.0013381929134641938
64	ангел	0.00133612338272748
65	солдат	0.001328755355365946
66	тоннель	0.001321030568589143
67	звезда	0.0013129445136935273
68	ru	0.0013102659632374142
69	мир	0.0013089898085620222
70	петрович	0.0013074393110171366
71	атом	0.001282410722751407
72	Крис	0.0012745310590441454
73	http	0.0012699097367079024
74	пришелец	0.001260336558528265
75	игорь	0.0012586874699184476
76	джон	0.001257128865730966
77	существо	0.0012489282693523033
78	книга	0.00123982379872047
79	Ник	0.0012378523535502989
80	машина	0.0012352802807091977
81	поверхность	0.001231160723978323
82	изображение	0.0012289917272709301
83	лаборатория	0.0012259687525560886
84	виктор	0.0012190747312292398
85	дед	0.0012053793216742024
86	командир	0.0011936811557098188
87	меч	0.001188738138749418
88	Кристина	0.00118735287993494
89	а	0.001185515278865581
90	2017	0.0011735126773236198
91	пещера	0.0011721365802189094
92	круг	0.0011718791994086545
93	1	0.0011564934542113061
94	друг	0.0011552416629287518
95	станция	0.0011526518481064678
96	портал	0.0011515021264312192
97	proza	0.001130465642206199
98	старик	0.0011231396298027989
99	брат	0.0011219793528929303
100	компьютер	0.0011217195389330661
101	ваш	0.0011174806143280766
102	отряд	0.0011114362983985987
103	кот	0.001110115494137598
104	монстр	0.0011022685489814417
105	Анна	0.0010970651333530382
106	император	0.0010903296309368888
107	двигатель	0.0010894638302091106
108	Джек	0.001081037671376738
109	человек	0.0010753384077917796
110	сэр	0.0010740406921684483
111	парень	0.0010740025626833792
112	Марк	0.0010685828579276224
113	девочка	0.0010666580722477202
114	www	0.0010493624091894881
115	павел	0.0010457910542566319
116	Костя	0.0010349719701027054
117	денис	0.0010296685178238709
118	объект	0.0010275159369567829
119	разведка	0.001024070267214028
120	охотник	0.0010234296163196285
121	человечество	0.0010204545689915666
122	луна	0.001019282582218651
123	незнакомец	0.0010122829408165041
124	глава	0.001006153805414103
125	доктор	0.0010061075595766814
126	произведение	0.001002491883146638
127	юноша	0.0009958385780959424
128	база	0.000990016999336129
129	лес	0.0009874248557116088
130	отец	0.0009847266739441104
131	автор	0.0009743586103537453
132	иванович	0.0009709178376610711
133	мама	0.000966180140438862
134	будущее	0.000965401401295174
135	автоматически	0.0009640081912372065
136	12	0.0009442298544994787
137	экспедиция	0.0009422201077776612
138	полицейский	0.000941385106395014
139	олег	0.0009407876980044021
140	раса	0.0009396659386347536
141	город	0.0009389798449231813
142	крест	0.0009369073205074307
143	Стас	0.0009335966951363666
144	это	0.0009273197515276148
145	дверь	0.0009245669913891864
146	защитный	0.000922807662118312
147	кристалл	0.0009170988576132239
148	полковник	0.0009149064804305903
149	природный	0.0009140596257624091
150	пространство	0.000911951478533149
151	мой	0.0009070981265431856
152	остров	0.0008977462875215302
153	шар	0.0008942318759088645
154	мальчик	0.0008908875006999512
155	текст	0.0008901124991313086
156	Виолетта	0.0008885761206673963
157	тело	0.0008820499508922013
158	солнце	0.0008809437559412393
159	год	0.0008788784389572037
160	оружие	0.0008783097712273919
161	воин	0.0008755327455464495
162	майор	0.0008703672053961195
163	президент	0.0008674160251073211
164	тварь	0.0008540678096331859
165	сложный	0.0008540474024079665
166	сон	0.0008493759195251116
167	иван	0.0008458723856577075
168	роман	0.0008433545709144423
169	то	0.0008426926909782186
170	Семён	0.0008421680507522049
171	Антон	0.0008361908627610949
172	война	0.0008359220623333836
173	пират	0.0008354416866653526
174	рюкзак	0.0008346371936065501
175	туман	0.0008331110250784497
176	ссылка	0.0008307687083237486
177	король	0.0008268250273654109
178	максим	0.0008243550639909138
179	шаман	0.0008243465194178422
180	адам	0.0008243093652469176
181	Аня	0.0008242189661506324
182	з	0.0008241932484668467
183	земной	0.0008225944779583786
184	ракета	0.0008174841568402491
185	Паветать	0.000817024239678913
186	***	0.0008158629832933703
187	ядерный	0.0008100933481132364
188	монитор	0.0008077414539109259
189	лифт	0.0008036790065719289
190	каюта	0.0008032596441893285
191	мистер	0.000802952079441818
192	любовь	0.0007999962256585671
193	волк	0.0007990827921036996
194	фон	0.0007968440891810183
195	знак	0.0007949389875518818
196	Сэм	0.0007944109878251811
197	Билл	0.0007927652238323432
198	опасный	0.0007923172900362141
199	люк	0.0007898126092664381
200	ученый	0.0007891610205062644
201	кошка	0.0007878853496283948
202	дерево	0.00078585980245544
203	небо	0.0007807603453245554
204	неизвестный	0.0007807191269041366
205	полет	0.000776748326889482
206	мужчина	0.0007761862592931012
