	feature	tfidf
0	,	0.04602392669612904
1	!	0.0174237684830609
2	и	0.01116016479842128
3	корень	0.009060238024392868
4	я	0.008560086349993199
5	вы	0.008474173644177019
6	россия	0.008311113193097939
7	в	0.007763852168891652
8	не	0.007117732653883253
9	народ	0.006611623719628054
10	мы	0.006415590243983647
11	рубль	0.006197237254127583
12	путин	0.005966970515971427
13	чиновник	0.005729099961666926
14	депутат	0.0055155977730926165
15	президент	0.005487793033832645
16	страна	0.005324449049266651
17	выборы	0.005279981376177606
18	российский	0.004811161519341537
19	*	0.004805954110835329
20	деньги	0.004703658821861915
21	с	0.004495659607539563
22	ты	0.004450219721830565
23	зарплата	0.004409526583527624
24	на	0.004219160104909203
25	министр	0.004139557635090198
26	гражданин	0.004134955108622781
27	что	0.004121676395852198
28	партия	0.003993829345548942
29	власть	0.003871671578395611
30	русский	0.0038671590694556433
31	закон	0.003849795526663794
32	вуз	0.003516905258578795
33	реклама	0.0035154788709012776
34	он	0.0034986445585792575
35	2000	0.0034900376301352444
36	европа	0.003422549372623077
37	то	0.0033980730766865405
38	господин	0.003344943054133294
39	латинский	0.00331119397936492
40	праздник	0.003264735133567051
41	а	0.003255433077100012
42	украина	0.003229698121967778
43	кто	0.003208621789205017
44	они	0.0031818753617923936
45	дед	0.0031258045365558716
46	цена	0.003031014352606592
47	политический	0.002990562066230947
48	сша	0.0029368409173864828
49	государство	0.0029315180099347637
50	мол	0.002907053403304928
51	женщина	0.002835010482320722
52	наш	0.002832808203201158
53	экономика	0.002771137113860639
54	бюджет	0.0027676456903857555
55	буква	0.002727052285278561
56	интернет	0.002696970003485122
57	ну	0.002654740364394266
58	барак	0.002643178322827836
59	вот	0.002624827681417766
60	как	0.0026234412355346575
61	налог	0.002577446708378942
62	мужик	0.0025586349046300143
63	кандидат	0.002529549051005795
64	доллар	0.0024896126482369164
65	бабушка	0.0024785384241904746
66	премьер	0.0024504565403814416
67	отнюдь	0.0024445396972346232
68	суд	0.0024085799867647026
69	наука	0.002383784450974061
70	да	0.0023821257390988213
71	спорт	0.002380473645098231
72	москва	0.0023599975641940057
73	сайт	0.002345683144911956
74	быть	0.0023446271202821807
75	уж	0.002339313825143956
76	сосед	0.002337564000943182
77	ни	0.0023343917636411684
78	зритель	0.0023270149716548756
79	12	0.002318985821010429
80	книга	0.002306557156284082
81	нефть	0.002305414241439106
82	волк	0.002304806076799936
83	запад	0.0023045623299572217
84	надо	0.0022594584382362322
85	регион	0.00225809615929661
86	редакция	0.002244716636080059
87	демократия	0.0022281691707156702
88	товарищ	0.002209882921725771
89	платить	0.0021958614468460796
90	население	0.0021865933774160703
91	государственный	0.0021578252601008674
92	народный	0.0021461939660132223
93	декабрь	0.002136808407773239
94	про	0.002133842215149997
95	писать	0.0021062244074801224
96	газета	0.0021001608681730276
97	экономический	0.0020997575142991764
98	политика	0.0020903922605908063
99	без	0.0020869713946423656
100	мочь	0.002084143432148398
101	процент	0.0020824310683782953
102	друг	0.0020817906042261444
103	ваш	0.0020812429778600686
104	пенсия	0.002063142086624091
105	бы	0.002058342965432502
106	право	0.0020574505459919072
107	крым	0.002051687062721577
108	миллион	0.002042631819276136
109	автор	0.0020425850924764752
110	зима	0.0020369002215858243
111	мужчина	0.0020233850704434956
112	профессия	0.0020091921713456585
113	писатель	0.0020029416257412837
114	редактор	0.0019917862178917703
115	футбол	0.0019873913630817897
116	конкурс	0.001976902200709778
117	врач	0.0019485745560901377
118	жена	0.001934638029957737
119	фильм	0.0019184651521179789
120	завод	0.001916734656944032
121	свобода	0.001905172981599759
122	городской	0.0019007662129857977
123	россиянин	0.0018963509491414818
124	губернатор	0.0018761383826040238
125	блин	0.001864235572884149
126	слово	0.001863351771741469
127	читать	0.0018479262760352996
128	водка	0.0018458580899511374
129	журналист	0.001837349528402279
130	военный	0.0018357185325953802
131	служить	0.001812979859243131
132	банк	0.0018107024417845078
133	конституция	0.0018071118251949845
134	кот	0.0017930289036908926
135	о	0.0017833426045847148
136	любой	0.0017821123174001138
137	доход	0.0017782504437996614
138	советский	0.001767893355751927
139	собака	0.0017661349033006918
140	документ	0.00175637102758153
141	2014	0.0017542541618094333
142	горожанин	0.0017486332778560783
143	французский	0.0017462815446134615
144	рынок	0.0017421513082942024
145	раз	0.0017388760463965718
146	2011	0.0017306238633685708
147	мэр	0.0017270063130857573
148	кризис	0.0017239284194155162
149	олигарх	0.0017203292989007694
150	дурак	0.0017085589119210927
151	секс	0.001706792393217065
152	бумажка	0.0017028433927729239
153	анекдот	0.0017018078814570639
154	начальник	0.0017008669908545417
155	хоть	0.001694114377393396
156	http	0.0016889968109641501
157	2013	0.0016873876714586422
158	вопрос	0.001685292319016255
159	бумага	0.0016848158779499702
160	духовный	0.0016814745942062875
161	работник	0.0016804553949310113
162	если	0.0016793941616704165
163	город	0.0016789401986753646
164	хозяин	0.0016727835075548288
165	фирма	0.0016693966352983097
166	3	0.0016691949664436455
167	полицейский	0.0016609968369711578
168	новогодний	0.0016587170792260078
169	искусство	0.001656743713289052
170	общество	0.0016488548272314875
171	квартира	0.0016478945776584439
172	палата	0.0016450074496554283
173	песня	0.0016440713568408854
174	лень	0.0016406373745545548
175	национальный	0.0016277922076657022
176	мороз	0.0016268472748433393
177	лысый	0.0016203098055576847
178	игра	0.0016183305235182857
179	метро	0.0016113171221489567
180	защитник	0.0016093599102820987
181	украинский	0.0016041285172368877
182	бизнес	0.0015960480542265665
183	счет	0.0015891179740055979
184	агент	0.0015890689373376603
185	д	0.0015872355852153432
186	финансовый	0.0015828720907726016
187	покупать	0.0015819523104064028
188	или	0.0015803287501940427
189	турция	0.0015785684367978306
190	дума	0.001577803176881073
191	радио	0.0015776877103090535
192	из	0.0015747167944271633
193	труд	0.0015735818270123272
194	вместо	0.0015643582499419058
195	рабочий	0.001559815289953174
196	у	0.0015580745221868786
197	миллиард	0.0015556770320815636
198	кремль	0.0015538951430350177
199	средство	0.0015532140672391713
200	текст	0.001550495802761878
201	греческий	0.0015424440601857947
202	ru	0.0015393205660793718
203	студент	0.0015372111691458643
204	О	0.0015338714672301374
205	должность	0.0015297404752221927
206	мама	0.001529000809942237
207	пробка	0.0015282549988677012
208	жить	0.001527849748875243
209	милиция	0.0015267941528758807
210	владимир	0.0015265646226023863
211	правительство	0.0015251773198254668
212	дама	0.0015245246136171213
213	область	0.0015228528607834294
214	потому	0.001522815102032762
215	ли	0.0015224246784108176
216	америка	0.0015203201604379257
217	иностранный	0.0015193136291908466
218	транспорт	0.0015190078401095828
219	главный	0.0015103989469796614
220	зимний	0.0015096689824622101
221	петух	0.001502991498116159
222	нынче	0.0014960713063203682
223	душа	0.0014940148520291908
224	работать	0.001489838931734862
225	Т	0.0014897659952043635
226	над	0.0014894823874738612
227	революция	0.0014894197928476977
228	фонд	0.0014877931431231456
229	спортивный	0.0014867300674457813
230	театр	0.0014864105445430364
231	дмитрий	0.001486014191702362
232	салон	0.0014810829070940749
233	научный	0.0014794833267151928
234	язык	0.001477298711163584
235	снег	0.001467811325206476
236	**	0.0014657780679224867
237	ножка	0.0014639809740412339
238	услуга	0.0014542575623705878
239	житель	0.0014533128343174257
240	победа	0.0014456275601154455
241	человек	0.0014452852574310155
242	культура	0.0014440802438505124
243	сказать	0.001443733910287041
244	компания	0.0014398354706297125
245	производство	0.0014389757642028398
246	знак	0.0014362882895241223
247	доктор	0.001432596083842649
248	министерство	0.0014324840953965315
249	увы	0.0014315205380051141
250	столица	0.0014301099928513427
251	твой	0.001426609649555485
252	собственность	0.0014232086068019507
253	реформа	0.0014231387744335579
254	водитель	0.00142165559903844
255	магазин	0.0014209697117463001
256	лекарство	0.001418191902543287
257	вор	0.0014172545826612493
258	премия	0.0014154328797234997
259	площадь	0.0014105339052691214
260	рф	0.0014031116893176265
261	урожай	0.0013972029677161775
262	она	0.0013953369150584041
263	весна	0.0013924525211242397
264	долг	0.0013916499956969774
265	оплачивать	0.0013903298065769242
266	заседание	0.001387460244211922
267	лес	0.0013858937295270475
268	образование	0.001385457335522481
269	новость	0.0013839419149794326
270	это	0.0013805731081718382
271	руководитель	0.0013769820416869348
272	вода	0.001373891849203902
273	самолет	0.001373443300652408
274	для	0.0013704907700506923
275	служба	0.0013695604092752312
276	фраза	0.0013670849731779679
277	телефон	0.001366630084677273
278	наследство	0.0013657779519186172
279	козел	0.0013637156700744132
280	паспорт	0.0013616452735718283
281	дорогой	0.001361448797556163
282	товар	0.0013589513483534684
283	чужой	0.0013500912953746322
284	диплом	0.0013492337907746908
285	публика	0.0013484861160875748
286	очередь	0.0013469243360144157
287	раб	0.0013466235160878154
288	1	0.0013456679075899182
289	бесплатный	0.0013428743072216873
290	поистине	0.0013427507527812468
291	артист	0.0013426051326664704
292	объявление	0.0013399402110408918
293	сцена	0.0013396577246746622
294	читатель	0.0013367307089736118
295	волка	0.0013366188667419778
296	нога	0.0013364750806502163
297	ха	0.0013361160633495455
298	за	0.001329971587742721
299	техника	0.0013299073687017807
300	ребенок	0.0013295671968261362
301	совесть	0.0013272257504303372
302	семья	0.001326697023683163
303	начальство	0.0013239226269723665
304	16	0.0013216790843481134
305	последний	0.0013183201442863333
306	означать	0.001309632265095169
307	менеджер	0.001308975145277022
308	2012	0.0013066983150307506
309	официальный	0.0013030034178753232
310	лидер	0.0013021172186927148
311	крутой	0.0012998146159274508
312	капитализм	0.0012947653107440134
313	армия	0.0012915462146837941
314	здоровье	0.0012900981923677176
315	республика	0.0012850330513134592
316	китай	0.0012821683117679218
317	бумажный	0.001282102791166528
318	роман	0.0012795608070072914
319	произведение	0.0012772545720374337
320	штат	0.0012767119551105486
321	там	0.00127640283164078
322	подумать	0.0012728753721197906
323	журнал	0.0012698487331688519
324	царь	0.0012688112511463393
325	жрать	0.0012677289352671394
326	видать	0.001266483306016762
327	ссср	0.0012577038632225943
328	администрация	0.0012570569543732004
329	знаменитый	0.0012536417231995573
330	директор	0.001253077719406563
331	рука	0.0012501192479591108
332	ль	0.0012427492880979175
333	террорист	0.0012427077890174172
334	ложь	0.0012426456771109007
335	иль	0.0012423114596082762
336	дикий	0.0012403013841224219
337	политик	0.0012396223420056485
338	прогресс	0.0012352583146419517
339	s	0.0012320814117044731
340	прокурор	0.0012318203044025795
341	судья	0.001231456294580819
342	матч	0.0012296111285833215
343	высший	0.0012288885423748107
344	справка	0.0012279110550715412
345	флаг	0.0012268262019195888
346	ой	0.001225164705017566
347	природа	0.0012205621144323795
348	слава	0.0012201385008316643
349	александр	0.0012162834978794055
350	бедный	0.0012139108944663425
351	правитель	0.0012114168437923933
352	эфир	0.0012109821504314282
353	дело	0.0012083390239779747
354	Валентин	0.0012082753789532542
355	стакан	0.0012012182783417281
356	угадывать	0.0012003436196951474
357	мяч	0.0011992025480542887
358	охота	0.0011971840739387317
359	автобус	0.0011960925140628912
360	заодно	0.0011955222727897908
361	бить	0.0011944386269110167
362	образ	0.0011942003235072033
363	Васька	0.0011927998818028354
364	председатель	0.0011922108418943728
365	царство	0.0011901704238371131
366	далее	0.001190069376138542
367	гимн	0.0011887130574644795
368	р	0.0011867146766326385
