	feature	tfidf
0	,	0.07303462022423356
1	и	0.026752230124911815
2	не	0.02108389726718098
3	в	0.01754368834341057
4	я	0.01635484553889036
5	человек	0.01629501401756721
6	ты	0.015495552806098526
7	!	0.013275357273329862
8	что	0.013124528048231035
9	*	0.013004012151986176
10	любовь	0.011632210642537399
11	жизнь	0.010768897431416624
12	мы	0.010698491951806307
13	то	0.010078198174148635
14	вы	0.008419508104792504
15	бог	0.008207529492203164
16	он	0.008136470578477231
17	быть	0.008051437801362738
18	мир	0.008049299288856858
19	это	0.007239730394335462
20	каждый	0.006837310302011617
21	мой	0.006669618890649598
22	душа	0.006569920028053507
23	кто	0.006479160731284372
24	http	0.006156660315824177
25	ru	0.006152703286203492
26	а	0.005544781675471912
27	сознание	0.005445929615379895
28	любить	0.005390447419618341
29	планета	0.005388644301989595
30	на	0.005342453449177733
31	себя	0.005319856887796658
32	твой	0.005132899979723431
33	они	0.005063971590101034
34	свой	0.004992269730910871
35	она	0.004978542054919741
36	истина	0.004853273833795629
37	все	0.0048352762430947625
38	смысл	0.0048213862884463115
39	если	0.0047473692465377585
40	женщина	0.004693887410556449
41	друг	0.004658532205614827
42	жить	0.00451889535306077
43	духовный	0.004478965910113669
44	счастье	0.004444793134517149
45	мысль	0.00443810557991164
46	зло	0.0043377872347598375
47	как	0.0043342472489739875
48	12	0.004333315539749285
49	с	0.004286634558993504
50	знание	0.004178670708851019
51	энергия	0.004161061301196985
52	вселенная	0.004159819401576648
53	надеяться	0.004148700205466074
54	творческий	0.004055087462460271
55	значить	0.004053031553744681
56	но	0.004038570360032855
57	философия	0.004038421667957195
58	для	0.003975974876740342
59	1	0.003951646847596317
60	или	0.003943488570503728
61	общество	0.0038905357055856373
62	чувство	0.003864597768800806
63	когда	0.003856200310693846
64	мочь	0.003804597583239065
65	нет	0.0037954676457570154
66	стих	0.0037177158749496265
67	лишь	0.0037136566382146427
68	путь	0.003702477720893034
69	бытие	0.0036882191927646293
70	стихи	0.003677855279717201
71	вера	0.0036751445020475207
72	читатель	0.003632513780848244
73	о	0.003631948297648289
74	к	0.0036144421603279725
75	авторский	0.0035955965277164213
76	свет	0.00359152043726579
77	смерть	0.0035548793203460383
78	ваш	0.0035388489921354006
79	бы	0.003535791359259417
80	разум	0.003534169713039033
81	дмитрий	0.00352739511326348
82	весь	0.003480813162050702
83	тот	0.003444929447623782
84	ум	0.003437819604965528
85	уважение	0.0034349575490399127
86	нужный	0.00342539100428614
87	божественный	0.0034247315557121797
88	автор	0.003409321418619142
89	лаборатория	0.0033881233458391904
90	выражать	0.0033687903855277855
91	наш	0.0033683573914673978
92	человечество	0.0033549264463368384
93	природа	0.0033347516162877777
94	чтобы	0.003331320838673912
95	подробно	0.003320589562144458
96	тема	0.0033162237990495623
97	ибо	0.003309074667695316
98	сердце	0.0032933498122219287
99	развитие	0.0032779651813950564
100	волновать	0.003223198501841874
101	большинство	0.0032205308567279886
102	так	0.003220419469202384
103	закон	0.0031957589207598845
104	тело	0.0031402463712791643
105	всегда	0.0031299966158017892
106	слово	0.003128137015622956
107	от	0.003120116713505974
108	реальность	0.003111764177267466
109	главное	0.0030936336352794043
110	раскрывать	0.003072219704135185
111	***	0.003071209080308976
112	личность	0.003055876415887933
113	мужчина	0.003052466857965169
114	www	0.003017907045784438
115	отношение	0.0030124011599616377
116	данные	0.0029975028017280667
117	мышление	0.0029836750378294517
118	который	0.002981033255433494
119	свобода	0.0029672737314970837
120	являться	0.002962608558859931
121	познание	0.0029173417024055785
122	религия	0.0029149741966570217
123	только	0.002912936389519183
124	декабрь	0.002912703523963068
125	язык	0.0029097374506234517
126	цель	0.002877535958361446
127	понятие	0.0028696722398720274
128	человеческий	0.0028621239158926263
129	знать	0.0028364342507991034
130	новый	0.0028332763088662004
131	создавать	0.002827127381085183
132	земной	0.002820038914762118
133	мудрость	0.002812832609737812
134	житель	0.0027920169996148063
135	судьба	0.0027800765687125283
136	ни	0.002750319061577868
137	заниматься	0.00274460741233726
