	feature	tfidf
0	,	0.021456129120144152
1	я	0.009868285234508847
2	!	0.008614645990607964
3	ты	0.006909041543683886
4	маг	0.006848064576543013
5	и	0.0067436326698734825
6	эльф	0.006069538788591183
7	ведьма	0.006066489190243416
8	дракон	0.005228832134242875
9	он	0.00467700172331255
10	девушка	0.004640550641074748
11	магия	0.004588674969456265
12	демон	0.004481160224519215
13	она	0.0044192978460108525
14	в	0.004100526544895488
15	не	0.003910541881258414
16	вампир	0.003659954330054209
17	меч	0.003636843556105821
18	король	0.003601500377103802
19	гном	0.003601101809991904
20	http	0.0032424548910122714
21	*	0.002982606529502013
22	лес	0.0027990472945639538
23	пещера	0.0027331781239197744
24	ru	0.0025888766216587878
25	принцесса	0.002530527744646116
26	воин	0.0025177611813921724
27	Стас	0.0024955346878705693
28	оборотень	0.002468183702783196
29	королевство	0.002351992097806948
30	что	0.00234506917523006
31	парень	0.0022409823353255285
32	принц	0.002237709965277308
33	кот	0.0022347156970038075
34	рыцарь	0.002160296805506302
35	заклинание	0.0021585645728538654
36	девочка	0.0020818015626656392
37	вы	0.002080647532047493
38	proza	0.0020645989517932574
39	стражник	0.0020519159343922845
40	мальчик	0.0020513224117052753
41	магический	0.0020384303098974483
42	быть	0.0019406566754141992
43	старик	0.0019037020981062412
44	www	0.0019029288288331173
45	юноша	0.0018863410562446272
46	мир	0.0018794615039662195
47	на	0.0018240807091021282
48	ангел	0.0017974216064802146
49	портал	0.00179100930109445
50	колдун	0.001782268925596412
51	королева	0.001722763463664044
52	дед	0.0017157979901923888
53	фея	0.0016892165493114213
54	посох	0.001611548727880901
55	текст	0.0016002640124467336
56	планета	0.0015986419510113639
57	земля	0.001596301039976044
58	камень	0.0015488722283863137
59	Влад	0.0015481342737042215
60	мы	0.00154573373676226
61	император	0.0015408865374519514
62	тварь	0.0015145924289612872
63	авторский	0.0014922963907852544
64	замок	0.0014904271756807186
65	ветер	0.0014852362075848699
66	соглашение	0.0014640028670681606
67	волк	0.0014401411331044283
68	Алекс	0.0014268296381637232
69	человек	0.0014215174990127135
70	они	0.001416434013377414
71	волшебник	0.0014154013583189153
72	башня	0.0014143101516022783
73	издательство	0.001413953587782134
74	редакция	0.0014103842398727354
75	сон	0.0013960013236901287
76	кристалл	0.0013916530178886292
77	Крис	0.0013904688088614324
78	твой	0.0013903438481359443
79	монстр	0.0013850636862653126
80	мой	0.0013845018577337183
81	хранитель	0.0013841740815934847
82	крыло	0.0013644505196361027
83	чёрный	0.0013638923918122205
84	то	0.0013546726166045752
85	тьма	0.0013393068030196128
86	Алиса	0.0013351391515219655
87	брат	0.0013307013575694087
88	а	0.0013291055756784733
89	лорд	0.001322562745225997
90	виктор	0.00132163890753184
91	Ваня	0.0013041974446620927
92	клан	0.001301989460300426
93	птица	0.001285553161034815
94	бог	0.001269924801254477
95	Сэм	0.001244123796924954
96	дворец	0.001240364117625576
97	владыка	0.0012330613794090729
98	черный	0.001225827869402979
99	Лер	0.0012015929788380209
100	сэр	0.0012015195305164564
101	князь	0.0011981542686258098
102	это	0.0011886305949509331
103	господин	0.0011806108379776368
104	костер	0.0011788596976382729
105	гора	0.0011774864226162356
106	сестра	0.0011713439143037243
107	словно	0.001171239598130357
108	незнакомец	0.0011707044637385322
109	граф	0.001166004890049583
110	Диан	0.0011639419998953032
111	снег	0.001159386997733964
112	мастер	0.0011562528786842306
113	сказать	0.001152802884066612
114	зеркало	0.001152450199493053
115	алекс	0.0011469551160134734
116	отец	0.001137246342571825
117	крикнуть	0.0011360636668394336
118	город	0.0011344542671903777
119	спрашивать	0.001113879353255284
120	небо	0.001113550725822354
121	Макс	0.0011116535996823606
122	дверь	0.0011106533415108967
123	окно	0.0011052283673125794
124	сказка	0.0011035337141709434
125	Чёрный	0.0010859288778790753
126	книга	0.0010835179694234961
127	Н	0.0010800591929745844
128	стрела	0.001076848349552835
129	Т	0.0010732363795727415
130	кошка	0.0010726482748724755
131	год	0.0010635820217861425
132	иван	0.001063097280877403
133	тело	0.0010558272245780095
134	***	0.00105371446271547
135	приобретать	0.0010509290990371478
136	принцесс	0.0010469242604690253
137	туман	0.0010463286496665226
138	алиса	0.0010385979766365135
139	с	0.0010346131220528403
140	верховный	0.001022164926693965
141	огонь	0.0010180960983512512
142	дождь	0.0010165125909078927
143	кровь	0.001005536824213014
144	барон	0.0010051276881487257
145	кинжал	0.0010020679065967486
146	отряд	0.0009990644476319242
147	клинок	0.0009982594234130757
148	существо	0.0009966508387399906
149	лошадь	0.0009962460461962
150	дерево	0.0009943004848940416
151	любовь	0.0009930798817003302
152	2011	0.000992702636069378
153	настя	0.0009922697250376094
154	поляна	0.0009921365791019298
155	вода	0.0009892174093334351
156	Лиза	0.0009836950229838838
157	шар	0.0009833484002656667
158	Иван	0.0009808437532815766
159	ворон	0.0009796717147810814
160	свой	0.000978908812972118
161	королевский	0.0009781049924817392
162	дом	0.0009744260229969574
163	конь	0.0009715006852684195
164	трава	0.0009704048316250988
165	охотник	0.0009621855445876712
166	как	0.0009576565256519382
167	остров	0.0009546583937676252
168	Лера	0.0009465636862419734
169	стена	0.0009454597293796572
170	друг	0.000943801882938824
171	холм	0.0009427164589788028
172	правитель	0.0009387424642829439
173	волос	0.0009378829576407986
174	душа	0.0009357087861418167
175	великан	0.0009339212335056821
176	палатка	0.0009291550745330395
177	лена	0.0009281384502742135
178	леди	0.0009278251450684053
179	путник	0.0009249792000226855
180	новый	0.0009198191823401301
181	шаман	0.0009191945406843738
182	зверь	0.0009162236120948547
183	ваш	0.0009072978763999308
184	доспех	0.0009049155229371003
185	бес	0.0009040824706968905
186	по	0.0009027911195817217
187	Марк	0.0009005019373118274
188	из	0.0008993522129784167
189	12	0.0008987129040211797
190	мороз	0.0008962129013384804
191	полный	0.0008918775567784418
192	тень	0.0008911801849025932
193	мистер	0.0008905047039560742
194	Настя	0.0008896923801065953
195	свет	0.0008892742479223494
196	озеро	0.0008888240121051507
197	берег	0.0008867499212450177
198	богиня	0.0008823562210719144
199	море	0.0008796317847778876
200	но	0.0008692636313793895
201	кровать	0.000863189527598887
202	комната	0.000862922538550419
203	трон	0.0008624070692613855
204	тёмный	0.0008615665412972142
205	Артем	0.0008603280999411001
206	сергей	0.0008587239800267546
207	мысль	0.0008570880621513937
208	Анна	0.0008460470723636001
209	е	0.0008453342487906051
210	так	0.0008451084297044365
211	вновь	0.0008371240312021557
212	всадник	0.0008358567949264124
213	факел	0.0008353894053884072
214	луна	0.0008341959909779776
215	женщина	0.0008332197572216974
216	изнесть	0.0008320905605172737
217	жизнь	0.0008316835293726323
218	карта	0.0008315410315203734
219	солдат	0.0008314647847346831
220	де	0.0008284197191202433
221	волшебный	0.0008264762026376526
222	зал	0.0008260336556321459
223	щит	0.00082389818477014
224	сын	0.0008237193335337597
225	пролетать	0.0008236859144805197
226	мама	0.0008236016376104785
227	нет	0.0008216961885519932
228	кто	0.0008175855625374433
229	рыжий	0.0008175192743521251
230	бабушка	0.0008161933154199528
231	кольцо	0.0008148488694525081
232	умирать	0.0008140418698866506
233	храм	0.0008132899329355458
234	закричать	0.0008127123407948231
235	энергия	0.0008085340825254351
236	глаз	0.00080654543295658
237	старуха	0.0008052119612352712
238	мрак	0.0008047645040747749
239	роза	0.0008023591365402202
240	мочь	0.0007997338305864007
241	голос	0.0007981073465519378
242	да	0.0007976079881638329
243	темный	0.0007976066778739675
244	о	0.0007966775693372284
245	плащ	0.0007949953755379599
246	лесной	0.0007946955670516746
247	кабинет	0.0007933149506129283
248	капитан	0.0007928442532977276
249	Эрик	0.0007828921149844827
250	битва	0.000779239602183173
251	корабль	0.0007783889097639712
252	смерть	0.000778314301599078
253	герцог	0.0007782116577250506
254	за	0.0007741548753143172
255	бокал	0.0007709338170978948
256	ее	0.0007701556040373644
257	река	0.0007673449192482279
258	ученик	0.0007670629602648709
259	доктор	0.0007652513888253346
260	белый	0.000764977138182434
261	звезда	0.0007628435085430925
262	где	0.000761873451665427
263	командир	0.0007602027886359052
264	08	0.000759563739537333
265	голова	0.0007595344561022851
266	величество	0.0007588678450551596
267	призрак	0.0007584094685880952
268	чудовище	0.0007576655413390978
269	нога	0.0007569794677947881
270	империя	0.0007562524023837326
271	клетка	0.0007522573184145337
272	скоро	0.000751792060945535
273	царство	0.0007515703525089977
274	серый	0.0007514236116839994
275	страж	0.000751404647606652
276	отвечать	0.0007497484259369468
277	монах	0.0007484676997345618
278	чай	0.0007447765607279063
279	война	0.0007445708196004146
280	ладонь	0.0007429976117760075
281	кричать	0.0007412701608274048
282	сила	0.0007405323189001649
283	бой	0.0007402892073961668
284	ни	0.0007384093289189863
285	жить	0.0007381024047833991
286	цепь	0.0007354197908025035
287	генерал	0.0007289603889193462
288	повелитель	0.0007217325279315667
289	превращаться	0.0007189258225361424
290	госпожа	0.0007178033795124598
291	Аня	0.0007119684137646542
