	feature	tfidf
0	,	0.05677727892023257
1	!	0.03361566399979552
2	я	0.029512962020888087
3	ты	0.022529984681881825
4	и	0.020747655943440222
5	в	0.014780385879486733
6	не	0.013677097643886449
7	она	0.013553181065397487
8	секс	0.012140620583633877
9	любовь	0.010446852289149273
10	девушка	0.00934994159239494
11	мой	0.00893382412654634
12	твой	0.008816411439402986
13	он	0.008779862753540223
14	вы	0.007742075804395132
15	что	0.007545200647645688
16	а	0.007341019983495931
17	на	0.006927559366161237
18	*	0.006753517741701416
19	http	0.006653102443528018
20	быть	0.006562919136841294
21	член	0.0063241548478414
22	женщина	0.0062801134134377636
23	как	0.00627043414821251
24	ru	0.006093231927647144
25	с	0.0058631776081792325
26	любить	0.005380780884782228
27	губа	0.005292433131566313
28	это	0.0052195186571498825
29	мы	0.005058221719385884
30	мужчина	0.004907686358959246
31	сексуальный	0.004633813385574623
32	тело	0.004627776980436091
33	***	0.004493783603687591
34	о	0.004331457126656357
35	**	0.004274028212830947
36	то	0.00410048430776653
37	хотеть	0.004028734566851029
38	да	0.003954399637842968
39	страсть	0.003953642650013952
40	ласкать	0.003902587006258979
41	ну	0.003898095554264537
42	нежный	0.0038688621093196677
43	они	0.003816834268323282
44	если	0.0037271229392426873
45	грудь	0.003655118299811529
46	все	0.0036171542609928714
47	у	0.0036146957208904353
48	душа	0.0035699100720404807
49	улыбка	0.0035447389890897844
50	поэт	0.0035016640311900894
51	ночь	0.00349488575109502
52	ласка	0.003394837475022271
53	вот	0.003381278638911089
54	целовать	0.003322006603085556
55	так	0.0032588844860057123
56	мужик	0.0032309075996445114
57	глаз	0.0032203696455793064
58	половой	0.0031856565129924448
59	красивый	0.0030292161255655948
60	друг	0.0030235289366679543
61	сладкий	0.003022353546671032
62	нет	0.0030117390280206997
63	же	0.0030106477214349057
64	такой	0.0029914404292934304
65	к	0.0029580335803512155
66	но	0.0029305159036755596
67	по	0.002921849916300462
68	парень	0.002851162468843482
69	www	0.002829431093837133
70	ее	0.0028059728352661326
71	только	0.0027721542364818313
72	девочка	0.002741108478667877
73	2017	0.002732012440913288
74	кончать	0.0027241189292143975
