	feature	tfidf
0	,	0.05446282616547297
1	!	0.030945490229157466
2	я	0.017919471817636482
3	и	0.015307190289892433
4	в	0.011202672516284816
5	ты	0.010958622367930182
6	не	0.010613365974188943
7	вы	0.009258534307518752
8	*	0.00849031095922199
9	он	0.008360400289337856
10	на	0.0068851090611505876
11	а	0.006786813692050447
12	дед	0.006712707477581355
13	проза	0.0066099673457317544
14	мы	0.005686133169842079
15	жена	0.0054465872440473875
16	что	0.005396662843683737
17	ну	0.005372449088475135
18	с	0.005306082159318945
19	она	0.004834806758869371
20	мужик	0.0046923302891593984
21	мороз	0.004680892800200425
22	кот	0.004566218907023815
23	год	0.0040450969537509564
24	да	0.003878326215995629
25	муж	0.0037705651340214905
26	женщина	0.003725444370245827
27	быть	0.0035501860025378656
28	то	0.0034575688419188773
29	у	0.003457375291511607
30	мама	0.003433167275759897
31	мужчина	0.0033595176888630714
32	водка	0.003237140309212451
33	мой	0.003217547179575207
34	ваш	0.003170730577099603
35	новогодний	0.0030718432032624666
36	новый	0.0029261038805241547
37	они	0.0029161637784977865
38	баба	0.002891290051498738
39	сосед	0.0028471682307708492
40	ru	0.0028307748336573488
41	магазин	0.002809620435705839
42	все	0.00278471373615324
43	девушка	0.002781172031856093
44	12	0.002753797579872222
45	собака	0.0027435693025334444
46	русский	0.0027252286546302503
47	ёлка	0.0027085006342439833
48	http	0.002685903499321491
49	***	0.002674670273260817
50	покупать	0.002638462537134614
51	www	0.0026370328941454167
52	вот	0.002589006693044687
53	если	0.002553455909329549
54	это	0.002522019195734588
55	бабушка	0.0025196017057669147
56	доктор	0.002513029687492998
57	деньги	0.0025101408903274443
58	папа	0.002491761544412385
59	как	0.0024439306363389372
60	пиво	0.0024019096988395733
61	рубль	0.0024013212677338946
62	подарок	0.002368641100996598
63	2017	0.00236653252626618
64	россия	0.0023506484140889132
65	любить	0.0023306817756577353
66	писать	0.0023236146823700345
67	праздник	0.002318287209506774
68	друг	0.002317969571375209
69	кошка	0.002288245559212232
